metro,year,width,height,strict_white_cloud_pct,diffuse_cloud_pct,dark_border_pct,mean_brightness,core_diffuse_cloud_pct,core_dark_or_empty_pct
las_vegas,2020,1024,512,1.52,23.43,1.94,0.4863,10.71,0.00
las_vegas,2021,1024,512,3.32,26.87,0.00,0.5217,16.64,0.01
las_vegas,2022,1024,512,0.78,12.63,0.00,0.3577,8.37,0.00
las_vegas,2023,1024,512,1.10,13.19,0.00,0.3853,10.01,0.00
nashville,2013,512,512,0.00,0.15,0.00,0.1314,0.06,0.00
nashville,2014,512,512,0.07,2.37,0.00,0.2025,1.38,0.00
nashville,2015,512,512,0.00,0.99,0.00,0.1912,0.16,0.00
nashville,2016,512,512,0.02,1.44,0.00,0.2633,0.07,0.00
nashville,2017,512,512,0.01,0.81,0.00,0.2037,0.67,0.00
nashville,2018,512,512,0.06,3.75,0.00,0.2766,0.36,0.00
nashville,2019,512,512,0.02,1.49,0.00,0.2354,1.06,0.00
nashville,2020,512,512,0.00,1.43,3.96,0.2158,0.41,0.00
nashville,2021,512,512,0.09,2.77,0.00,0.1910,1.26,0.00
nashville,2022,512,512,0.02,1.81,0.00,0.2083,0.59,0.00
nashville,2023,512,512,0.29,5.97,0.00,0.2028,0.55,0.00
orlando,2013,512,512,0.08,3.85,0.00,0.2014,0.16,0.00
orlando,2014,512,512,0.00,0.88,0.00,0.1541,0.94,0.00
orlando,2015,512,512,0.18,3.05,0.00,0.1942,1.14,0.00
orlando,2016,512,512,0.01,1.28,0.00,0.1411,0.99,0.00
orlando,2017,512,512,0.01,1.43,1.48,0.2485,0.73,0.00
orlando,2018,512,512,0.00,1.67,3.89,0.2097,0.55,0.00
orlando,2019,512,512,0.01,1.28,0.00,0.2284,0.62,0.00
orlando,2020,512,512,0.00,3.05,2.90,0.2240,1.58,0.00
orlando,2021,512,512,0.00,0.43,0.00,0.1728,0.10,0.00
orlando,2022,512,512,0.01,0.65,0.00,0.1620,0.45,0.00
orlando,2023,512,512,0.00,1.47,0.00,0.3202,1.51,0.00
phoenix,2013,512,1024,0.02,2.84,0.00,0.3356,3.04,0.00
phoenix,2014,512,1024,0.04,3.00,0.00,0.3289,2.16,0.00
phoenix,2015,512,1024,0.10,7.71,0.00,0.3702,4.77,0.00
phoenix,2016,512,1024,0.19,12.45,0.00,0.3557,0.50,0.00
phoenix,2017,512,1024,0.00,4.69,0.00,0.4055,5.15,0.00
phoenix,2018,512,1024,1.06,10.30,0.01,0.3924,10.24,0.00
phoenix,2019,512,1024,0.01,3.14,0.00,0.3010,1.34,0.00
phoenix,2020,512,1024,0.03,3.87,0.00,0.2883,0.74,0.00
phoenix,2021,512,1024,0.16,6.67,0.00,0.2992,6.55,0.00
phoenix,2022,512,1024,0.10,14.74,0.00,0.4330,11.59,0.00
phoenix,2023,512,1024,0.16,4.44,0.00,0.2694,6.10,0.00
raleigh,2013,1024,512,0.02,2.55,0.00,0.2513,2.13,0.00
raleigh,2014,1024,512,0.01,1.03,0.27,0.3082,0.38,0.00
raleigh,2015,1024,512,0.00,2.85,0.69,0.2764,3.34,0.00
raleigh,2016,1024,512,0.04,1.89,0.00,0.2370,0.71,0.00
raleigh,2017,1024,512,1.01,9.59,0.00,0.2919,6.44,0.00
raleigh,2018,1024,512,0.03,3.42,1.61,0.2307,1.55,0.00
raleigh,2019,1024,512,0.00,2.19,0.12,0.2633,1.58,0.00
raleigh,2020,1024,512,0.01,5.88,0.00,0.3386,2.43,0.00
raleigh,2021,1024,512,0.43,5.73,0.00,0.2783,0.61,0.00
raleigh,2022,1024,512,0.01,2.69,0.10,0.2741,0.75,0.00
raleigh,2023,1024,512,0.03,1.04,0.00,0.3381,0.20,0.00
san_antonio,2013,1024,512,0.13,11.03,0.00,0.3647,2.62,0.00
san_antonio,2014,1024,512,0.01,1.05,0.00,0.1909,0.27,0.00
san_antonio,2015,1024,512,0.00,0.00,0.00,0.1612,0.00,0.00
san_antonio,2016,1024,512,0.00,0.54,3.40,0.2060,0.01,0.00
san_antonio,2017,1024,512,0.00,0.03,0.00,0.1996,0.00,0.00
san_antonio,2018,1024,512,0.00,0.01,0.00,0.1535,0.02,0.00
