year,metro,gdp_millions,unemployment_rate,employment_thousands,total_permits,interpolated,modis_red_mean,modis_red_std,modis_green_mean,modis_green_std,modis_blue_mean,modis_blue_std,modis_brightness_mean,modis_brightness_std,modis_ndvi_proxy_mean,modis_dark_frac,viirs_available,viirs_mean,viirs_std,viirs_median,viirs_p90,viirs_max,viirs_lit_frac,viirs_bright_frac,viirs_gini,modis_brightness_mean_delta,modis_ndvi_proxy_mean_delta,modis_dark_frac_delta,viirs_mean_delta,viirs_lit_frac_delta,viirs_bright_frac_delta,modis_brightness_mean_growth,viirs_mean_growth,viirs_mean_lag1,viirs_lit_frac_lag1,modis_brightness_mean_lag1,gdp_millions_growth,employment_thousands_growth,total_permits_growth,gdp_millions_lag1,employment_thousands_lag1,unemployment_rate_lag1,total_permits_lag1,gdp_per_employee,permits_per_1k_emp,split
2013,atlanta,0.8069639691048465,1.9136137063996692,0.9831338729514886,0.6792291973577748,False,-1.2769740045829698,-1.2839597453679195,-1.294180703259964,-1.1789481062686973,-0.9780663742729266,-1.185714614619623,-1.21303395001544,-1.2083805388553586,0.5454222555933784,1.2935788397059702,False,-0.592866410015042,-0.596402078210631,-0.5479079356619196,-0.5965539257498462,-0.6773178556527596,,,,,,,,,,,,,,,,,,,,,,-0.0013834492967518238,-0.19719161516288497,train
2014,atlanta,0.910154114033859,1.2868336408178929,1.0268544062995675,0.8693770679579228,False,-1.087949939388911,-0.6461401388036874,-1.112427672836579,-0.5615109483926318,-0.8075327423708455,-0.6061238668039265,-1.0283563312465405,-0.5961099688866358,0.4613756254517028,0.9631426323440961,False,-0.592866410015042,-0.596402078210631,-0.5479079356619196,-0.5965539257498462,-0.6773178556527596,,,,0.20507559549365784,-0.06205321373667418,-0.29152697918844117,-0.31207100594893644,,,0.12474433744080039,,-0.43327110685717346,,-1.2091076661604616,0.8287709361726526,-0.5116033961194947,0.11113439858012376,0.8378734544441768,1.0087569554306075,1.7593225234220127,0.7469052332400489,0.2562508826431827,-0.06228006007650151,train
2015,atlanta,1.0338916247537704,0.5904113457270306,1.0650343190620606,1.1609743263510248,False,-0.7321547235722974,0.22273790072139388,-0.7121177624599976,0.23710119098383353,-0.4329667448040626,0.14579612352739296,-0.6433571537325395,0.20939960073913233,1.1205401490150915,0.8472194793565506,False,-0.592866410015042,-0.596402078210631,-0.5479079356619196,-0.5965539257498462,-0.6773178556527596,,,,0.41865762509452464,0.7540606489869583,-0.10338720973037413,-0.31207100594893644,,,0.3608186005807109,,-0.43327110685717346,,-1.0235938096087824,1.197690623290941,-0.7123261350026745,0.34573715247653414,0.9423170228905774,1.0528371937190397,1.1222287984703716,0.9442268990319626,0.6047256834663257,0.15790134892452565,train
2016,atlanta,1.1644507216444846,0.1725579686725134,1.194684840764775,1.6403286606594452,False,-0.5406989814142936,-1.028334304780788,-0.5178961818738993,-0.9467860835891835,-0.3587911999355467,-0.9567491588180983,-0.485219353069789,-0.968603582830222,-0.10890684110608881,-1.0533534293944962,False,-0.592866410015042,-0.596402078210631,-0.5479079356619196,-0.5965539257498462,-0.6773178556527596,,,,0.17677894958166243,-1.31980763182883,-1.6686233889086723,-0.31207100594893644,,,0.003904884095388029,,-0.43327110685717346,,-0.6368513192844769,1.2040254314208914,2.1538721221466246,0.7140395586931664,1.0675575405694004,1.0913312266944222,0.41434688185743723,1.2468253798084137,0.6462827911868866,0.4496412915052598,train
2017,atlanta,1.2889310151660205,-0.24529540838200434,1.3292715517164657,1.439103441352918,False,-1.125134789552424,-0.9055577207894638,-1.1284260501714192,-0.804435456216587,-0.8687220371505193,-0.8030320380404278,-1.067044543289015,-0.8296654272838605,0.5735889752166656,1.1586387049789975,True,0.6174855736935694,0.549507654144906,0.6076819664835288,0.5081687301213308,1.292035405903836,-0.039861909977545594,-0.6620067927645197,-0.23715006232616218,-0.6121665758632617,0.7796805436309753,1.9383227773818559,0.8289560989345988,,,-0.7409793990226706,,-0.43327110685717346,,-0.4779974556538289,0.9302785825107752,2.113683115295102,-0.899255334141969,1.199702504429914,1.2220484310197972,-0.010382268110323152,1.7442645330935607,0.6465546999383297,0.1883999593463942,train
2018,atlanta,1.3901071809913632,-0.8024332444546941,1.3728913465084431,1.8861023542599717,False,-0.6844170652801164,0.6872349284248817,-0.6529069361120144,0.6576009846596244,-0.3090870516538279,0.4645128445742795,-0.565655312524104,0.6112818215567786,1.0953540006267197,1.3460078623406395,True,0.39065943622499305,0.9488452568199102,0.08317881782477157,0.6720271674685937,1.4038881790836328,-1.1903213111274544,-0.577955596605829,1.1764043512393734,0.5427522255679261,0.603183425717102,0.16261685941092707,-0.5259053074011933,-0.5826845364693665,0.18003997237336106,0.5394749851265158,,0.945275333174044,-0.27876520905228785,-1.0624572055467056,0.3416598321080463,-0.6816539425903823,0.5184707216912279,1.325694827297456,1.3577424364422532,-0.4351114180780841,1.5354475984227383,0.858186818270221,0.49656842949197094,train
2019,atlanta,1.5041509665272041,-1.0810021624910389,1.4129852918368662,1.359729057816561,False,-0.733479213210171,-0.725427410086305,-0.7276801674779929,-0.6470925480424434,-0.5138688553703976,-0.670749429273569,-0.6756830550623216,-0.6730770937785746,0.02842389398583823,-0.4206459856536646,True,2.4815659096565317,0.5337063823220758,2.789839533627267,1.4609259644107166,1.7215498193276766,1.2820187269071104,-0.1909262456375053,-1.8448204712566265,-0.10913805977408833,-1.1413492208191012,-1.5511689929964874,1.659075397803479,2.317440533440631,0.40575326428281555,-0.27949014097135744,,0.6869286963922129,-1.5557206482525574,-0.5587976367655284,0.5182091895309151,-0.7996270175368196,-1.4899655052002367,1.4280999533663559,1.4017211073613574,-1.0014169513684315,1.9993106426083394,1.1195538078373997,0.07182890737381323,val
2021,atlanta,1.6116011892890645,-0.7327910149456077,1.4172163111931317,1.8880946831639966,False,-0.971413356067557,-0.10345606402064093,-0.967988667737557,-0.06660207188998864,-0.584830804526534,-0.1654823086221076,-0.8648811850658408,-0.10485709108218509,1.171186519701226,1.0862883208026974,True,0.6800172172474047,1.0206659050668208,0.3356134651865849,1.0076725920576701,1.6857570353383962,-0.7265987006562751,-0.6503513781138195,0.6234499644955123,-0.16766980332695303,1.182336034364548,0.8710423556839347,0.16278344658312793,0.9368810717973167,0.15727735633848786,-0.3491911684267188,,0.44279511850237374,-1.8709916660110157,-0.6937061546195292,0.30946415630421303,-1.815284068693584,0.7361725283308677,1.5435289987339464,1.4421449203539753,-1.284569718013605,1.453078621419911,1.4736983106960695,0.4632660339863004,test
2022,atlanta,1.7474123340592809,-1.3595710805273837,1.5066721490113217,2.6081223490786396,False,-1.0450289077910637,-0.8291867246640604,-1.045988029723425,-0.7451335838472107,-0.7363220942743284,-0.7767568797874552,-0.9671946985516499,-0.7755731608705982,0.47090615781033185,0.8123487613609801,True,3.538653274171134,1.0056111322648797,3.864089579353494,2.3079680121367425,1.7319894651205896,1.2820823618237496,2.571587946447634,-1.7743837893481953,-0.10091318019477197,-0.7387342466454335,-0.24197630570679995,2.3828320204855884,1.946272037511636,2.517710355079336,-0.2915905357104678,,1.0164965777134292,-1.0410105166916777,-0.8593784324531922,0.7486413458589327,0.5591677440557324,0.8990067283922498,1.652284391056824,1.446410749865759,-0.930628759707138,2.0013781370110206,1.6268114937428795,0.9177752159191815,test
2023,atlanta,1.7902199719363678,-1.2202866215092112,1.570540393579714,1.822188443018849,False,-1.1085910745392407,-0.2829955906477763,-1.0966515833110426,-0.21995062549357558,-0.7773543009551251,-0.2886223855701344,-1.020383502005306,-0.2551698512602277,1.261456206900289,1.4956347916434924,True,0.6980475931533303,1.0144734588837194,0.5263419074410708,0.8068139157826897,1.7327351541057978,-0.2569879887807774,-0.5073550968768715,0.3557050813731168,-0.048536614547277236,0.8983339799359361,0.5975632845309814,-2.9899763755887308,-0.8937755520980337,-2.176334012849995,-0.2358781807073256,,4.272378017707673,1.1885303135094356,-0.9621552312371123,-0.9562019861770563,-0.20477902910910342,-1.7061481891135517,1.7897451980394103,1.5366025738291882,-1.567722484658779,2.7485706141400823,1.5542178338027568,0.30352439486238136,test
