year,metro,gdp_millions,unemployment_rate,employment_thousands,total_permits,interpolated,modis_red_mean,modis_red_std,modis_green_mean,modis_green_std,modis_blue_mean,modis_blue_std,modis_brightness_mean,modis_brightness_std,modis_ndvi_proxy_mean,modis_dark_frac,viirs_available,viirs_mean,viirs_std,viirs_median,viirs_p90,viirs_max,viirs_lit_frac,viirs_bright_frac,viirs_gini,modis_brightness_mean_delta,modis_ndvi_proxy_mean_delta,modis_dark_frac_delta,viirs_mean_delta,viirs_lit_frac_delta,viirs_bright_frac_delta,modis_brightness_mean_growth,viirs_mean_growth,viirs_mean_lag1,viirs_lit_frac_lag1,modis_brightness_mean_lag1,gdp_millions_growth,employment_thousands_growth,total_permits_growth,gdp_millions_lag1,employment_thousands_lag1,unemployment_rate_lag1,total_permits_lag1,gdp_per_employee,permits_per_1k_emp,split
2013,atlanta,328009.7,7.7,2578.8,24297,False,0.1381942480802536,0.10846683382987976,0.15554407238960266,0.10700661689043045,0.20552320778369904,0.10255402326583862,0.16642051935195923,0.10580208897590637,0.07988767325878143,0.592808723449707,False,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,127.19470296261827,9.421824104234528,train
2014,atlanta,343124.6,6.8,2622.2,26683,False,0.1654404252767563,0.15870817005634308,0.18072818219661713,0.15728026628494263,0.22833949327468872,0.14889805018901825,0.19150269031524658,0.15481466054916382,0.0754072368144989,0.5171957015991211,False,0.0,0.0,0.0,0.0,0.0,,,,0.025082170963287354,-0.004480436444282532,-0.07561302185058594,0.0,,,15.071561524358422,,0.0,,0.16642051935195923,4.608064944420831,1.6829533116177853,9.820142404412069,328009.7,2578.8,7.7,24297.0,130.85371062466632,10.17580657463199,train
2015,atlanta,361249.2,5.8,2660.1,30342,False,0.2167252153158188,0.2271500825881958,0.23619602620601654,0.22230574488639832,0.2784539759159088,0.20902150869369507,0.24379172921180725,0.21929611265659332,0.11054659634828568,0.49066925048828125,False,0.0,0.0,0.0,0.0,0.0,,,,0.05228903889656067,0.035139359533786774,-0.026526451110839844,0.0,,,27.30459755446979,,0.0,,0.19150269031524658,5.28222109402825,1.445351231790104,13.712850878836713,343124.6,2622.2,6.8,26683.0,135.80286455396416,11.40633810758994,train
2016,atlanta,380373.0,5.2,2788.8,36357,False,0.24432189762592316,0.12860256433486938,0.2631078064441681,0.1259099692106247,0.28837817907333374,0.12086208164691925,0.26526936888694763,0.1249963566660881,0.04500608518719673,0.05576515197753906,False,0.0,0.0,0.0,0.0,0.0,,,,0.02147763967514038,-0.06554051116108894,-0.4349040985107422,0.0,,,8.809831139300272,,0.0,,0.24379172921180725,5.2937971904159165,4.838163978797794,19.824006327862364,361249.2,2660.1,5.8,30342.0,136.3930722891566,13.036790017211704,train
2017,atlanta,398606.4,4.6,2922.4,33832,False,0.16008055210113525,0.13827373087406158,0.17851141095161438,0.13750059902668,0.22015276551246643,0.1331532895565033,0.18624821305274963,0.13611842691898346,0.08138921111822128,0.5619306564331055,True,0.14739610254764557,0.09085535258054733,0.12747524678707123,0.2586633563041687,0.817141056060791,0.6632041931152344,0.008501052856445312,0.32319385561160674,-0.079021155834198,0.03638312593102455,0.5061655044555664,0.14739610254764557,,,-29.78902395167804,inf,0.0,,0.26526936888694763,4.79355790237479,4.790590935169248,-6.945017465687487,380373.0,2788.8,5.2,36357.0,136.39693402682727,11.576786203120722,train
2018,atlanta,413426.3,3.8,2965.7,39441,False,0.2236061841249466,0.2637387216091156,0.24440041184425354,0.2565441429615021,0.2950282692909241,0.23450607061386108,0.2543448805809021,0.2514669895172119,0.10920394957065582,0.6048059463500977,True,0.11977332085371017,0.12251749634742737,0.06961634010076523,0.2970297038555145,0.8635519742965698,0.3700981140136719,0.020020484924316406,0.492865595221472,0.06809666752815247,0.02781473845243454,0.04287528991699219,-0.027622781693935394,-0.2931060791015625,0.011519432067871094,36.56231993424064,-18.740510241786325,0.14739610254764557,0.6632041931152344,0.18624821305274963,3.717928262065029,1.481658910484529,16.57897848191061,398606.4,2922.4,4.6,33832.0,139.40260309539065,13.299052500252893,train
2019,atlanta,430131.0,3.4,3005.5,32836,False,0.2165343016386032,0.1524626761674881,0.23403966426849365,0.15031194686889648,0.26762980222702026,0.14373059570789337,0.23940135538578033,0.14865340292453766,0.05232704058289528,0.2005462646484375,True,0.3744029402732849,0.0896025225520134,0.3681930601596832,0.48174503445625305,0.9953588843345642,0.9999837875366211,0.07306385040283203,0.1302219881088289,-0.014943525195121765,-0.056876908987760544,-0.40425968170166016,0.25462961941957474,0.6298856735229492,0.053043365478515625,-5.875300167627529,212.59293606009018,0.11977332085371017,0.3700981140136719,0.2543448805809021,4.04055087932238,1.3420103179687892,-16.74653279582161,413426.3,2965.7,3.8,39441.0,143.11462319081684,10.925303610048244,val
2021,atlanta,445869.9,3.9,3009.7,39466,False,0.1822381615638733,0.20145563781261444,0.2007419764995575,0.19757728278636932,0.2581355571746826,0.1841317117214203,0.21370522677898407,0.19413970410823822,0.11324650049209595,0.545374870300293,True,0.15501117706298828,0.12821191549301147,0.09746287018060684,0.3756188154220581,0.9805074334144592,0.48824214935302734,0.010098457336425781,0.42649338356597255,-0.02239951491355896,0.05593080073595047,0.2277069091796875,0.06134095788002014,0.19050979614257812,0.00733184814453125,-9.487109302839725,65.48608342658137,0.09367021918296814,0.2977323532104492,0.23610474169254303,3.659094554914666,0.1397438030277698,20.191253502253616,430131.0,3005.5,3.4,32836.0,148.14430009635512,13.112934844004387,test
2022,atlanta,465763.0,3.0,3098.5,48501,False,0.17162711918354034,0.1442895084619522,0.18993420898914337,0.142329141497612,0.23786701261997223,0.13525424897670746,0.19980941712856293,0.14044854044914246,0.07591529935598373,0.48268985748291016,True,0.503134548664093,0.1270182728767395,0.4866955578327179,0.6800742149353027,0.999690592288971,1.0,0.4516735076904297,0.1386766427277515,-0.013895809650421143,-0.03733120113611221,-0.06268501281738281,0.34812337160110474,0.5117578506469727,0.4415750503540039,-6.502325591124791,224.57952916494915,0.15501117706298828,0.48824214935302734,0.21370522677898407,4.461637800623008,2.950460178755354,22.893123194648556,445869.9,3009.7,3.9,39466.0,150.31886396643537,15.65305793125706,test
2023,atlanta,472033.3,3.2,3161.9,38639,False,0.1624651849269867,0.1873132288455963,0.1829141527414322,0.18509116768836975,0.23237717151641846,0.17428544163703918,0.1925855278968811,0.1821070909500122,0.11805868148803711,0.6390447616577148,True,0.15720690786838531,0.1277209371328354,0.11850247532129288,0.3285891115665436,1.0,0.6078863143920898,0.02969646453857422,0.39435543425532105,-0.007223889231681824,0.042143382132053375,0.1563549041748047,-0.3459276407957077,-0.39211368560791016,-0.42197704315185547,-3.615389772662103,-68.75449950996287,0.503134548664093,1.0,0.19980941712856293,1.3462426169532637,2.046151363563009,-20.33360136904394,465763.0,3098.5,3.0,48501.0,149.28786489136277,12.220184066542268,test
2013,austin,113901.7,5.2,961.3,20852,False,0.2907046973705292,0.11221517622470856,0.29063305258750916,0.10556139051914215,0.17281748354434967,0.12014058232307434,0.2513850927352905,0.11037150025367737,0.006264562718570232,0.045139312744140625,False,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,118.48715281389785,21.691459481951526,train
2014,austin,120357.5,4.3,999.1,20276,False,0.19885948300361633,0.08829941600561142,0.23725828528404236,0.08773026615381241,0.15562523901462555,0.09919938445091248,0.1972476691007614,0.09110281616449356,0.09877524524927139,0.35016632080078125,False,0.0,0.0,0.0,0.0,0.0,,,,-0.054137423634529114,0.09251068253070116,0.3050270080566406,0.0,,,-21.535653942509647,,0.0,,0.2513850927352905,5.667869750846566,3.932175179444508,-2.7623249568386687,113901.7,961.3,5.2,20852.0,120.46591932739466,20.29426483835452,train
2015,austin,129623.3,3.4,1032.2,22370,False,0.2569769024848938,0.07021394371986389,0.26864519715309143,0.05017068237066269,0.14957661926746368,0.041113998740911484,0.22506624460220337,0.051231395453214645,0.031313471496105194,0.040325164794921875,False,0.0,0.0,0.0,0.0,0.0,,,,0.027818575501441956,-0.0674617737531662,-0.3098411560058594,0.0,,,14.103373504115368,,0.0,,0.1972476691007614,7.698564692686372,3.3129816835151704,10.32748076543697,120357.5,999.1,4.3,20276.0,125.57963572950979,21.67215655880643,train
2016,austin,135022.5,3.3,1066.2,21861,False,0.22763776779174805,0.06941376626491547,0.20523422956466675,0.05322332680225372,0.11019094288349152,0.048594359308481216,0.18102096021175385,0.055162154138088226,-0.044221796095371246,0.2750511169433594,False,0.0,0.0,0.0,0.0,0.0,,,,-0.044045284390449524,-0.07553526759147644,0.2347259521484375,0.0,,,-19.56992016652609,,0.0,,0.22506624460220337,4.165300528531524,3.293935283859728,-2.2753687974966463,129623.3,1032.2,3.4,22370.0,126.63899831176138,20.50365785030951,train
2017,austin,141102.9,3.2,1104.7,26700,False,0.28499388694763184,0.09079978615045547,0.25590795278549194,0.07118859142065048,0.13895092904567719,0.06282017379999161,0.22661758959293365,0.07304385304450989,-0.045237962156534195,0.12520980834960938,True,0.19315843284130096,0.18506862223148346,0.12871286273002625,0.41707921028137207,1.0,0.6132125854492188,0.07608413696289062,0.4670614521102614,0.04559662938117981,-0.0010161660611629486,-0.14984130859375,0.19315843284130096,,,25.188591049258612,inf,0.0,,0.18102096021175385,4.503249458423597,3.610954792721821,22.135309455194175,135022.5,1066.2,3.3,21861.0,127.72960984882772,24.169457771340635,train
2018,austin,149306.1,3.0,1146.5,30035,False,0.19912290573120117,0.07510998100042343,0.21772441267967224,0.06578024476766586,0.11270508170127869,0.06618373095989227,0.17651745676994324,0.06713876873254776,0.05679278075695038,0.3357696533203125,True,0.12053357064723969,0.06972444802522659,0.10736385732889175,0.16646039485931396,1.0,0.6042289733886719,0.007808685302734375,0.21850794382542316,-0.05010013282299042,0.10203074291348457,0.21055984497070312,-0.07262486219406128,-0.008983612060546875,-0.06827545166015625,-22.107786475438107,-37.59859775510288,0.19315843284130096,0.6132125854492188,0.22661758959293365,5.813629627739769,3.7838327147641904,12.49063670411985,141102.9,1104.7,3.2,26700.0,130.22773658962058,26.197121674662014,train
2019,austin,159055.7,2.8,1186.9,32037,False,0.23523445427417755,0.0752892941236496,0.2488514930009842,0.05775612220168114,0.12119176983833313,0.04976453632116318,0.2017592340707779,0.05869574099779129,0.040049176663160324,0.15383529663085938,True,0.6360412240028381,0.15832625329494476,0.6327351331710815,0.8468440771102905,1.0,0.9999542236328125,0.7991676330566406,0.14123136542970172,0.025241777300834656,-0.016743604093790054,-0.18193435668945312,0.5155076533555984,0.3957252502441406,0.7913589477539062,14.299875923168592,427.6880296397359,0.12053357064723969,0.6042289733886719,0.17651745676994324,6.529940839657589,3.5237679895333773,6.66555685034127,149306.1,1146.5,3.0,30035.0,134.00935209368944,26.992164462043977,val
2021,austin,182249.0,4.1,1255.3,50907,False,0.3174460530281067,0.14428986608982086,0.31997019052505493,0.13840697705745697,0.21128961443901062,0.16074299812316895,0.28290194272994995,0.14596928656101227,0.00945255160331726,0.011325836181640625,True,0.22465704381465912,0.12266810238361359,0.23422029614448547,0.34189358353614807,1.0,0.7874908447265625,0.02045440673828125,0.28661670906828984,0.10674844682216644,-0.07537688314914703,-0.2774162292480469,0.13176806271076202,0.5815467834472656,0.01848602294921875,60.59967545466674,141.85542907761942,0.0928889811038971,0.20594406127929688,0.1761534959077835,14.581872891068958,5.7629117870081625,58.90064612791459,159055.7,1186.9,2.8,32037.0,145.1836214450729,40.55365251334342,test
2022,austin,198966.5,3.0,1351.6,42362,False,0.29478248953819275,0.09330552816390991,0.26633843779563904,0.07364405691623688,0.13877864181995392,0.06592681258916855,0.2332998663187027,0.0754995197057724,-0.041844889521598816,0.1086273193359375,True,0.30417680740356445,0.14353002607822418,0.26949256658554077,0.44306930899620056,1.0,0.9986343383789062,0.072723388671875,0.21880223873820182,-0.04960207641124725,-0.05129744112491608,0.09730148315429688,0.07951976358890533,0.21114349365234375,0.05226898193359375,-17.53331063498421,35.39606959953978,0.22465704381465912,0.7874908447265625,0.28290194272994995,9.172889837529974,7.671472954672187,-16.785510833480664,182249.0,1255.3,4.1,50907.0,147.20812370523825,31.34211305119858,test
