model,cv_mae,val_mae,test_mae
scaled_euclidean|k=8|uniform,1.1060312035820619,1.0266145917982363,2.420704328958011
scaled_euclidean|k=8|inverse,1.121938759898658,1.0179400490301922,2.419723088689722
euclidean|k=8|uniform,1.1330148102359157,1.0454826740395549,2.505919437529888
euclidean|k=8|softmax@1.0,1.1343307580053927,1.0440733827339237,2.5047838546105567
euclidean|k=8|softmax@0.5,1.1356488081907052,1.0426418231263488,2.503632501224684
scaled_euclidean|k=8|inverse_sq,1.1382600361332127,1.0143318403093533,2.419871276971981
euclidean|k=8|softmax@0.2,1.1396131335980264,1.0382209658871446,2.500090927770565
scaled_manhattan|k=8|uniform,1.141809749348852,1.132006711032316,2.4303979689590185
euclidean|k=8|softmax@0.1,1.1462391173079718,1.0305012401324218,2.4939498962046276
scaled_euclidean|k=8|softmax@1.0,1.1496160753398756,1.0129635714940908,2.4128845316863483
euclidean|k=8|inverse,1.1498652832099001,1.0417924795680762,2.491379737293561
cosine|k=8|uniform,1.1508910300013535,1.053979370705192,2.5486981501536308
cosine|k=8|softmax@1.0,1.1517463454743935,1.0522115048345662,2.5479367437965017
scaled_manhattan|k=8|inverse,1.1517970748893707,1.1282991355964571,2.421248324306632
cosine|k=8|softmax@0.5,1.1526025821151107,1.0504207279971205,2.5471644168943626
cosine|k=8|softmax@0.2,1.15517616611427,1.0449203377333816,2.544784417395314
cosine|k=8|softmax@0.1,1.1594779180764505,1.035410750978523,2.5406295782979544
euclidean|k=8|softmax@0.05,1.1602676677979002,1.0339109585920652,2.481315967479736
scaled_manhattan|k=8|inverse_sq,1.1633192018470115,1.127445076619191,2.4143612698146124
cosine|k=8|softmax@0.05,1.1681019031304944,1.0386073331659382,2.5318758331195563
manhattan|k=8|uniform,1.1712008947093955,1.0635066764664016,2.4526840396313556
euclidean|k=8|inverse_sq,1.1717001107422516,1.0424049971860385,2.476655308585218
manhattan|k=8|softmax@1.0,1.1729658873508955,1.0659502326890145,2.4504201273339854
manhattan|k=8|softmax@0.5,1.174812169295201,1.0685077319589575,2.4481006892318797
scaled_euclidean|k=5|uniform,1.177386173777132,1.0019045516954124,2.425559018262695
manhattan|k=8|inverse,1.1796199385406336,1.0791539320121837,2.444339306498153
manhattan|k=8|softmax@0.2,1.1808228423333187,1.0767866611399806,2.4410770816959992
manhattan|k=5|uniform,1.1867187640128833,1.1376184469277135,2.501650434684793
scaled_euclidean|k=5|inverse,1.187565486176316,1.0033242949916357,2.424955834360958
manhattan|k=5|softmax@1.0,1.1887652555328583,1.1377626880833103,2.4976606723460573
manhattan|k=8|inverse_sq,1.19078134698396,1.0988574244754525,2.4369997602632494
manhattan|k=5|softmax@0.5,1.1908975490450002,1.1379605521036467,2.4938179878142064
cosine|k=8|inverse,1.1921736576119566,1.0620610793427692,2.517591103055339
manhattan|k=8|softmax@0.1,1.1934133465554722,1.0916606557884658,2.4310115012813216
scaled_manhattan|k=5|uniform,1.1939378881498743,1.0351237946822462,2.400642228190288
euclidean|k=5|uniform,1.1954445342979565,0.9927354807191252,2.483279664756216
euclidean|k=5|softmax@1.0,1.196136201955156,0.9938904383833072,2.482093273317893
euclidean|k=5|softmax@0.5,1.1968347740316554,0.9950549938794736,2.4809143463909615
manhattan|k=5|softmax@0.2,1.1978501793912681,1.1389275831587717,2.483325856174299
scaled_euclidean|k=5|inverse_sq,1.198002788564987,1.005032424721363,2.4270582142215273
manhattan|k=5|inverse,1.1980375101648304,1.1432269335554586,2.4855651619863752
euclidean|k=5|softmax@0.2,1.198972508978229,0.9986013986660512,2.477428727757501
scaled_euclidean|k=8|softmax@0.5,1.2012794212728215,1.014350961016872,2.4311461581534375
scaled_manhattan|k=5|inverse,1.2026430750207167,1.0412290213174076,2.403215179096116
euclidean|k=5|softmax@0.1,1.2026784641294324,1.0046523871167268,2.4718284124101038
scaled_euclidean|k=5|softmax@1.0,1.2033283350374686,1.0009687547745543,2.4277466133971353
euclidean|k=5|inverse,1.2065711345987273,1.0128738331903275,2.4689664695541516
euclidean|k=5|softmax@0.05,1.2106392703145634,1.0169623745592442,2.4616844809547778
manhattan|k=5|softmax@0.1,1.2114329802039492,1.1420834866034906,2.4697818487760266
manhattan|k=5|inverse_sq,1.211939530407349,1.1519959993424003,2.4732864113023245
scaled_manhattan|k=5|inverse_sq,1.212159695114608,1.049791299235287,2.408212166932826
cosine|k=5|uniform,1.2189662128529115,1.009735097394024,2.4844748066611957
cosine|k=5|softmax@1.0,1.2194027579166653,1.0108091406616402,2.483917696882587
euclidean|k=5|inverse_sq,1.2197896890400568,1.0350268240136384,2.457321396993704
cosine|k=5|softmax@0.5,1.2198400090668902,1.0118781918299997,2.483360732842715
cosine|k=5|softmax@0.2,1.2211559869098514,1.015041787458491,2.481694459763412
cosine|k=5|softmax@0.1,1.2233635270205754,1.0200901867758743,2.479111533500216
cosine|k=5|softmax@0.05,1.2278366101237668,1.0288769471438053,2.4744839876165607
