model,val_mae,test_mae
ret_scaled_man_k3*0.30+ridge*0.70,0.8844981102861437,2.592226659696094
ret_scaled_man_k3*0.25+ridge*0.75,0.8846926331143118,2.6101579892338767
ret_scaled_man_k3*0.20+ridge*0.80,0.8848871559424797,2.6280893187716585
ret_scaled_man_k3*0.35+ridge*0.65,0.8853400158967906,2.576295970537788
ret_scaled_man_k3*0.15+ridge*0.85,0.886915719187952,2.6460206483094413
ret_scaled_man_k3*0.10+ridge*0.90,0.8902888328886276,2.663951977847223
ret_scaled_man_k3*0.40+ridge*0.60,0.8926536689521755,2.562059015499697
ret_scaled_man_k3*0.05+ridge*0.95,0.894981436223082,2.6818833073850064
ret_scaled_euc_k8*0.10+ridge*0.90,0.895266644171422,2.6705974722615915
ret_scaled_euc_k8*0.15+ridge*0.85,0.8975905484199344,2.655988889930994
ret_scaled_euc_k8*0.05+ridge*0.95,0.8984419678328924,2.6852060545921907
ret_scaled_man_k3*0.45+ridge*0.55,0.8999673220075609,2.547822060461606
ret_scaled_euc_k8*0.20+ridge*0.80,0.9015656488081956,2.6413803076003957
ret_scaled_euc_k8*0.00+ridge*1.00,0.9025900856110276,2.6998146369227887
ridge,0.9025900856110276,2.6998146369227887
ret_scaled_man_k3*0.00+ridge*1.00,0.9025900856110276,2.6998146369227887
ret_scaled_euc_k8*0.25+ridge*0.75,0.9055407491964564,2.6267717252697973
ret_scaled_man_k3*0.50+ridge*0.50,0.9072809750629458,2.5335851054235157
ret_scaled_euc_k8*0.30+ridge*0.70,0.9095158495847173,2.612163142939199
ret_scaled_euc_k8*0.35+ridge*0.65,0.9134909499729782,2.597554560608601
ret_scaled_man_k3*0.55+ridge*0.45,0.9145946281183306,2.5193481503854236
ret_scaled_man_k3*0.25+mean*0.75,0.916856370429142,2.5661482638293975
ret_scaled_man_k3*0.30+mean*0.70,0.9174338244262364,2.554486083243611
ret_scaled_euc_k8*0.40+ridge*0.60,0.9177054391291364,2.5829459782780027
ret_scaled_man_k3*0.35+mean*0.65,0.9199197272353485,2.5428239026578248
ret_scaled_man_k3*0.60+ridge*0.40,0.9219082811737158,2.5051111953473333
ret_scaled_man_k3*0.40+mean*0.60,0.9224056300444609,2.5311617220720386
ret_scaled_euc_k8*0.45+ridge*0.55,0.9225074430966925,2.5683373959474043
ret_scaled_man_k3*0.45+mean*0.55,0.9248915328535733,2.519499541486252
ret_scaled_man_k3*0.20+mean*0.80,0.9255197769852235,2.577810444415183
ret_scaled_euc_k8*0.50+ridge*0.50,0.9273094470642483,2.5537288136168064
ret_scaled_man_k3*0.50+mean*0.50,0.9273774356626854,2.5078373609004663
ret_scaled_man_k3*0.65+ridge*0.35,0.9292219342291009,2.490874240309242
ret_scaled_man_k3*0.55+mean*0.45,0.9298633384717974,2.49617518031468
ret_scaled_man_k3*0.60+mean*0.40,0.9326407172713996,2.484512999728894
ret_scaled_euc_k8*0.55+ridge*0.45,0.9337107407836187,2.539120231286208
ret_scaled_man_k3*0.15+mean*0.85,0.9361440629365161,2.590389655315667
ret_scaled_man_k3*0.70+ridge*0.30,0.9365355872844859,2.4766372852711505
ret_scaled_man_k3*0.65+mean*0.35,0.9372798869064625,2.4728508191431082
ret_scaled_man_k3*0.70+mean*0.30,0.9419190565415251,2.4611886385573216
ret_scaled_euc_k8*0.60+ridge*0.40,0.9433418440691629,2.524511648955609
ret_scaled_man_k3*0.75+ridge*0.25,0.943849240339871,2.46240033023306
ret_scaled_man_k3*0.75+mean*0.25,0.9465582261765881,2.4495264579715355
ret_scaled_euc_k8*0.35+mean*0.65,0.9490022888599329,2.555013213025126
ret_scaled_man_k3*0.10+mean*0.90,0.9500422088218148,2.605048573500874
ret_scaled_euc_k8*0.40+mean*0.60,0.9507245109834062,2.5436770420471033
ret_scaled_euc_k8*0.30+mean*0.70,0.9516438069043599,2.56634938400315
ret_scaled_euc_k8*0.65+ridge*0.35,0.9529729473547075,2.5100419433542562
ret_scaled_euc_k8*0.45+mean*0.55,0.9537886861998192,2.532769489748185
ret_scaled_man_k3*0.80+ridge*0.20,0.9544743809385546,2.448163375194969
ret_scaled_man_k3*0.80+mean*0.20,0.954605830811455,2.4378642773857493
ret_scaled_euc_k8*0.25+mean*0.75,0.9560095891857018,2.577685554981173
ret_scaled_euc_k8*0.50+mean*0.50,0.9594853838251807,2.52258174785817
ret_scaled_euc_k8*0.20+mean*0.80,0.9603753714670437,2.5890217259591957
ret_scaled_euc_k8*0.70+ridge*0.30,0.9626040506402517,2.4972794270119354
ret_scaled_man_k3*0.05+mean*0.95,0.9639403547071134,2.619707491686082
ret_scaled_euc_k8*0.15+mean*0.85,0.964741153748386,2.6003578969372194
