family,model,val_mae,test_mae
ft,cosine|k=1|uniform,1.8300632930906793,3.3416250944140504
ft,cosine|k=2|uniform,1.5664906221154409,3.162512573301871
ft,cosine|k=2|inverse,1.5796602417779888,3.1595535781264026
ft,cosine|k=2|inverse_sq,1.5920472566122257,3.1524733849345807
ft,cosine|k=2|softmax@0.05,1.604242377917606,3.128200463105156
ft,cosine|k=2|softmax@0.1,1.5863519070454732,3.1440218817326646
ft,cosine|k=2|softmax@0.2,1.5765540863860539,3.1530605818142416
ft,cosine|k=2|softmax@0.5,1.5705311845929726,3.1587072023630727
ft,cosine|k=2|softmax@1.0,1.5685119928967408,3.160608105386128
ft,cosine|k=3|uniform,1.3676649799189593,2.922289816514048
ft,cosine|k=3|inverse,1.3882116840079077,2.9370014124545794
ft,cosine|k=3|inverse_sq,1.4093252569147876,2.950315813535578
ft,cosine|k=3|softmax@0.05,1.4412676002445604,2.932272499518376
ft,cosine|k=3|softmax@0.1,1.4043235441301005,2.9267794635336246
ft,cosine|k=3|softmax@0.2,1.3857943717609817,2.924454605846621
ft,cosine|k=3|softmax@0.5,1.3748501824547106,2.923140731225513
ft,cosine|k=3|softmax@1.0,1.3712450986653422,2.9227129273163275
ft,cosine|k=5|uniform,1.1064006279268093,2.712941128959598
ft,cosine|k=5|inverse,1.130760227002137,2.757238438663164
ft,cosine|k=5|inverse_sq,1.1567381295625807,2.8029829123274435
ft,cosine|k=5|softmax@0.05,1.2135004526474111,2.7884377822494253
ft,cosine|k=5|softmax@0.1,1.158742630548,2.751941318222742
ft,cosine|k=5|softmax@0.2,1.132097636131227,2.732435071317525
ft,cosine|k=5|softmax@0.5,1.116549505408045,2.7206948798562247
ft,cosine|k=5|softmax@1.0,1.1114523345500122,2.7168074749045097
ft,cosine|k=8|uniform,0.9704169060824227,2.65113422904869
ft,cosine|k=8|inverse,0.9874461017770085,2.6834544970999468
ft,cosine|k=8|inverse_sq,1.007652363812424,2.7271011759608665
ft,cosine|k=8|softmax@0.05,1.062555534564382,2.7086592014034947
ft,cosine|k=8|softmax@0.1,1.0085665420932688,2.673126345156657
ft,cosine|k=8|softmax@0.2,0.9883562486320828,2.659810284181088
ft,cosine|k=8|softmax@0.5,0.9773148089041478,2.6540259115893616
ft,cosine|k=8|softmax@1.0,0.9738194840459207,2.6524849311337917
ft,euclidean|k=1|uniform,1.4797522792424571,3.1337287790164576
ft,euclidean|k=2|uniform,0.7293905259745097,2.9266473985192865
ft,euclidean|k=2|inverse,0.7290560771838129,2.9504096884427784
ft,euclidean|k=2|inverse_sq,0.7287194817917447,2.9729286722524977
ft,euclidean|k=2|softmax@0.05,1.1532080939510383,3.1875732415888813
ft,euclidean|k=2|softmax@0.1,1.010501606646757,3.169303926076415
ft,euclidean|k=2|softmax@0.2,0.8878345442304839,3.1159365960562053
ft,euclidean|k=2|softmax@0.5,0.7889651048570637,3.043200977707128
ft,euclidean|k=2|softmax@1.0,0.7483051242305566,2.9921558112301088
ft,euclidean|k=3|uniform,0.750048509709676,2.9151062563076273
ft,euclidean|k=3|inverse,0.7460648754104519,2.9334854419698115
ft,euclidean|k=3|inverse_sq,0.7434179002611877,2.9529345625767496
ft,euclidean|k=3|softmax@0.05,1.121944240863948,3.151146768234303
ft,euclidean|k=3|softmax@0.1,1.0074748951243595,3.1426771036200427
ft,euclidean|k=3|softmax@0.2,0.8720171845159028,3.097422704182187
ft,euclidean|k=3|softmax@0.5,0.7697510705030748,3.0170738998205118
ft,euclidean|k=3|softmax@1.0,0.7468558725449831,2.965357824840206
ft,euclidean|k=5|uniform,0.9970549821547768,2.7584984390042124
