Target,Retrieval MAE,Train-mean MAE,Beats baseline
GDP growth,2.400002516172304,2.6343664098712893,YES
Employment growth,2.3223224365716826,2.214465273095658,NO
Permit growth,28.752798421006496,20.7151190536826,NO
GDP per employee,28.162073522518057,16.579353303543993,NO
Permits per 1k employees,6.491892238682334,6.228897885175117,NO
