metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
austin,2022,5.034273624420166,0.5409320592880249,3.743300676345825,9.318506240844727,0.39812037,-0.8820193,0.027461506,-0.03352669,-0.5110824,-0.27247506,0.1650889,1.0274217,0.5343283,-0.055781182,0.33832258,-0.047487132,0.52201205,-1.4252814,-1.2435591,-1.1696262
austin,2023,2.0985445976257324,0.538537859916687,0.4445529282093048,3.0816354751586914,0.08280623,-0.7272941,-0.17333543,0.16725469,-0.25853914,-0.24240288,0.16963704,0.60232764,0.30725023,-0.17018585,0.15487342,0.12486059,0.45383933,-0.7968547,-0.6589983,-0.75090134
boston,2013,1.9561879634857178,0.9776023626327515,1.061043620109558,3.9948339462280273,-0.19583423,0.04003534,-0.3723488,0.3404168,0.5826177,-0.37775648,-0.049717516,-0.28720495,-0.5152362,-0.38148752,-0.30060798,0.43343887,0.19114351,0.8849821,0.56582355,0.41496447
boston,2014,1.4992671012878418,2.1009464263916016,0.5512264370918274,4.151439666748047,-0.7692506,-0.5666935,-0.34618494,0.3399477,-0.028677665,-0.106014214,0.34506956,-0.48824412,0.039090455,0.021934267,-0.48300678,0.1685279,0.19115096,0.26913902,0.107887164,-0.25664464
boston,2015,3.2027173042297363,3.3947861194610596,0.6737774014472961,7.271280765533447,-1.0182081,-0.20921776,-0.00369256,0.009792745,-0.18061534,0.1528224,0.43058354,-1.1912397,0.07082662,0.6880364,-0.6955432,-0.12869985,-0.36385575,0.78526586,0.1691818,0.03364712
boston,2016,2.2274537086486816,1.7275104522705078,0.7024170160293579,4.657381057739258,-0.9291827,-0.7767232,-0.5258315,0.51557386,-0.051052533,-0.22132117,0.42184567,-0.47244358,0.10341938,-0.05804573,-0.55755454,0.30139202,0.365396,0.26584762,0.03243848,-0.38735262
boston,2017,3.0149004459381104,0.5728545188903809,0.6309189796447754,4.2186737060546875,-0.752154,-1.022288,-0.765747,0.76014113,0.056985706,-0.5589124,0.37844706,-0.04825435,0.05917022,-0.5002304,-0.4408424,0.53481656,0.7595203,0.11499304,-0.011366874,-0.5193263
boston,2018,3.6252431869506836,0.8944989442825317,0.8362482190132141,5.355990409851074,-0.81251746,-1.1491005,-0.8284451,0.8099868,0.040047884,-0.6184833,0.44966647,-0.08369485,0.09176536,-0.5414614,-0.5049321,0.5737003,0.8310375,0.09006577,-0.025935903,-0.5929428
boston,2019,4.495765686035156,0.8324697017669678,1.0433231592178345,6.371558666229248,-0.9191902,-1.2528471,-0.93744946,0.9350175,0.11078602,-0.71731114,0.4671538,-0.08333365,0.071230434,-0.619647,-0.55909956,0.67466456,0.9553834,0.18430427,-0.020253308,-0.6244426
boston,2021,6.90968656539917,0.6436300277709961,5.10618782043457,12.659503936767578,-1.0307177,-1.1851792,-1.1279256,1.1447394,0.63523144,-0.9872634,0.4067127,-0.31977844,-0.43293276,-0.9675454,-0.83723795,0.9642573,1.0478808,0.8257113,0.5174737,-0.17246905
boston,2022,5.755961894989014,0.8298431038856506,2.044804096221924,8.630609512329102,-0.9670978,-1.3777101,-1.0544955,1.0584494,0.27701455,-0.87765926,0.4681249,-0.0015603974,-0.038470563,-0.8383798,-0.62994295,0.8114332,1.1217558,0.23324472,0.046267763,-0.63203585
boston,2023,5.247907638549805,0.5466520190238953,2.1722216606140137,7.9667816162109375,-0.9541532,-1.1841645,-1.0506498,1.0502906,0.36337844,-0.8285046,0.41555944,-0.04989799,-0.112840205,-0.7995991,-0.62268746,0.83904994,1.010227,0.44424218,0.16834557,-0.46588
charlotte,2013,2.993903160095215,0.33923402428627014,0.39758044481277466,3.730717658996582,0.68426293,0.91696715,0.16876927,-0.15597448,0.8981662,-0.14415097,-0.46385846,0.11954263,-0.6779682,-0.38989258,0.08693597,0.21769626,-0.031161394,0.7164034,0.6410686,0.8576686
charlotte,2014,0.7797625064849854,0.47471946477890015,0.5847477912902832,1.8392298221588135,0.27960923,-0.20517494,-0.02468934,0.038014486,-0.10396859,-0.0155476555,-0.051514667,0.4972983,0.09023419,-0.09584097,0.2593807,-0.019330867,0.1809812,-0.5192914,-0.32200056,-0.25930747
charlotte,2015,0.43371957540512085,0.31521815061569214,0.3899553418159485,1.1388931274414062,0.2614533,0.002138596,-0.013575159,0.0051902607,0.017959088,-0.006714955,-0.069387995,0.37013,0.0055801887,-0.15858014,0.180834,0.005282034,0.11455472,-0.28996775,-0.045404866,-0.098717764
charlotte,2016,0.8052095770835876,0.3268175721168518,0.21983036398887634,1.3518574237823486,0.13115881,-0.35282624,-0.121627025,0.11297688,-0.1226664,-0.09297647,0.040457286,0.45547575,0.15724812,-0.14453878,0.18172997,0.0648031,0.25818044,-0.4962314,-0.32534212,-0.38235328
charlotte,2017,0.9925259351730347,0.2309509664773941,0.18216142058372498,1.405638337135315,0.06415564,-0.41597012,-0.06038492,0.0671962,-0.26057824,-0.030606464,0.117609,0.40395,0.25989938,-0.012368593,0.15839121,-0.011816941,0.20919172,-0.61540246,-0.4334829,-0.49848285
charlotte,2018,0.7875279188156128,0.25721099972724915,0.29768967628479004,1.3424285650253296,0.08023993,-0.32625565,-0.065952405,0.07561061,-0.24383804,0.0017503761,0.09496771,0.3710592,0.24095888,-0.007051181,0.1556794,-0.029738948,0.16137177,-0.5345463,-0.35715812,-0.42435524
charlotte,2019,1.2993078231811523,0.7324520349502563,0.2106025367975235,2.2423624992370605,-0.005929152,-0.5620406,-0.1266449,0.14040634,-0.28621793,-0.10570241,0.1659078,0.3929383,0.30874273,-0.037372995,0.12368213,0.036158383,0.2943434,-0.64676815,-0.49423945,-0.6218946
charlotte,2021,1.1894378662109375,0.3272872269153595,1.1571820974349976,2.6739072799682617,-0.16459076,-0.6731611,-0.35245672,0.36681584,-0.15931141,-0.25095344,0.1721523,0.30930448,0.101907104,-0.26080388,0.01655402,0.14498411,0.47068474,-0.36269787,-0.22361301,-0.47234964
charlotte,2022,1.957613229751587,0.32836151123046875,1.117946743965149,3.403921604156494,0.19073938,-0.57396376,-0.04630494,0.06509121,-0.32659245,-0.10307693,0.14315714,0.6525044,0.3406026,-0.048190303,0.22164977,-0.03170983,0.31246528,-0.88099474,-0.66495234,-0.7276436
charlotte,2023,1.034990906715393,0.48575934767723083,0.39915141463279724,1.9199016094207764,-0.10641954,-0.51889896,-0.18131542,0.16935885,-0.31730723,-0.10792781,0.22825482,0.23471102,0.30799705,-0.027073791,0.018241256,0.03527806,0.2587284,-0.47290713,-0.36931878,-0.56687784
chicago,2013,9.71661376953125,0.6460107564926147,2.0960192680358887,12.458643913269043,0.15873142,0.9872292,-0.16527104,0.14027597,1.568945,-0.5268081,-0.4350446,-0.91026956,-1.3207772,-0.43826714,-0.5512409,0.6246317,-0.1104132,2.208447,1.2152139,1.5748117
chicago,2014,4.466611862182617,1.25108003616333,1.4190782308578491,7.136770248413086,-0.7213562,-0.03570111,-0.41857284,0.35372886,0.6705146,-0.35480404,0.11451923,-1.0839486,-0.6227899,0.007845171,-0.68210447,0.40310046,-0.039122142,1.4990196,0.6936395,0.69543326
chicago,2015,9.02261734008789,3.532236099243164,0.9651066660881042,13.519960403442383,-1.3165951,0.22080514,-0.06950405,-0.009358227,0.25644132,0.11245483,0.34438932,-2.0846734,-0.37350288,0.9868889,-1.0399419,-0.03809835,-0.7533824,2.0778146,0.63249224,0.8518076
chicago,2016,4.606789588928223,1.0741695165634155,0.9531048536300659,6.634063720703125,-0.9792463,-0.35849524,-0.6551926,0.56112826,0.55610114,-0.4089819,0.2299992,-1.062572,-0.49422738,-0.09374879,-0.7676606,0.49501282,0.1533999,1.4056917,0.534856,0.46273267
chicago,2017,4.579667568206787,0.5378905534744263,0.7852844595909119,5.9028425216674805,-1.0699893,-0.816514,-0.92162305,0.8119669,0.41817743,-0.6082138,0.34198323,-0.69483536,-0.3423443,-0.32820103,-0.73916423,0.63729733,0.5291086,1.0126001,0.33884495,0.07399516
chicago,2018,5.969980716705322,0.7980065941810608,0.6869581937789917,7.4549455642700195,-1.4444653,-1.1535811,-1.0182273,0.91601396,0.23637426,-0.6397397,0.52560604,-0.86897784,-0.13306408,-0.3533772,-0.9600763,0.7059712,0.7062765,0.8587227,0.24984334,-0.23542565
chicago,2019,5.179235458374023,1.1717875003814697,0.9923462867736816,7.343369483947754,-1.3310133,-0.9182291,-0.9249643,0.8073682,0.26812088,-0.54064107,0.4647842,-0.92502743,-0.21725366,-0.18238756,-0.88531667,0.6223305,0.49918535,1.018612,0.27747983,-0.034163848
chicago,2021,8.549629211425781,0.6327974796295166,3.9266977310180664,13.109124183654785,-0.7468511,-0.12370618,-0.814797,0.7516472,1.1871272,-0.8394349,0.07658996,-1.024355,-0.93729824,-0.62959903,-0.8730989,0.9470453,0.38507795,2.0315528,0.95879775,0.8788882
chicago,2022,4.85820198059082,0.8218692541122437,1.6306321620941162,7.310703277587891,-1.061414,-1.1860368,-1.0248629,0.97671103,0.30318317,-0.69926333,0.4717615,-0.33939412,-0.16170906,-0.5571538,-0.7180337,0.69438446,0.83049875,0.52997154,0.21529832,-0.33751056
chicago,2023,4.859777927398682,0.7575057148933411,0.8200075626373291,6.437291145324707,-1.0936791,-0.99660945,-1.0267788,0.9092509,0.36609453,-0.6535447,0.41128367,-0.582665,-0.2651976,-0.4230431,-0.7734707,0.68384665,0.6758487,0.8241924,0.2858283,-0.11880317
