metro,year,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
austin,2017,0.016558684,0.47622877,-0.031963147,0.42564735,0.08821926,-0.937957,-0.9435122,-0.2245976,-0.07573946,-0.07206165,-0.43716502,-0.1946559,-0.46452618,0.47059724,-0.3036645,0.88645315,0.7482987,-0.3042329,0.21134764,0.026709285,-0.3585298,-0.43373546,0.28881413,0.63770944,0.82941544,-0.006993592,0.5178858,-0.29660755,-0.047215007,1.1838567,0.087458014,1.3132218
austin,2018,0.05816198,0.5579385,-0.23277396,0.5389114,-0.043082766,-1.0536081,-1.0020145,-0.04567965,-0.06233773,0.20329088,-0.38978124,-0.11783904,-0.74473184,0.44341642,-0.8868443,0.84509754,0.746056,-0.08889977,0.5160124,-0.029226277,-0.57732475,-0.4069004,0.19011533,0.9581476,1.1157149,0.46430784,0.6031692,-0.38087666,0.14625531,1.4593527,0.40861672,1.4519293
austin,2019,0.10202233,0.6366027,-0.23161212,0.4784697,-0.0528349,-1.1935068,-0.9298128,-0.064959526,0.013394084,0.4953483,-0.46740556,0.044357568,-0.89938134,0.57424814,-1.1479843,0.8008691,0.63179386,0.10091709,0.64667434,-0.0070789047,-0.64485013,-0.3229877,0.0347844,1.080737,1.2661456,0.7131733,0.72788155,-0.30198473,0.35133842,1.4499121,0.673825,1.5307337
austin,2021,0.1296339,0.9534672,-0.23555028,0.39846846,-2.3969357,-3.1686656,0.12679935,1.1681135,-0.5596871,1.636917,-0.7232854,0.27836344,-2.8784416,0.49830538,-4.4099736,-0.37487793,2.485963,0.9104468,1.9411019,-1.4785714,-1.5105355,-0.07973131,0.89168555,4.1934996,2.1835778,3.673277,0.7903924,-0.6879217,0.77732944,4.167576,2.8163671,3.077864
austin,2022,0.38523704,1.4092996,0.2909911,1.4445331,-1.9239444,-2.8882117,-0.47063407,1.3838714,-0.8997049,0.14233287,0.6192465,-0.400104,-2.1032796,0.5235126,-2.9521606,1.1325346,2.2091706,0.5301585,1.2936859,-1.446586,-1.906059,-1.2041485,0.4611843,2.3088274,1.3959111,2.7532506,-0.17207378,-1.134345,-0.119816415,4.2263126,1.5017506,2.980332
austin,2023,0.3205004,0.8476743,0.6157514,0.18084659,-0.42784038,-1.2522682,-0.25513634,-0.34902748,-0.182965,0.21571746,-0.15793653,0.31347585,-0.70682496,0.8494975,-0.66136044,0.85800433,0.7830442,0.33904567,0.31820777,-0.15669511,-0.90394527,-0.5124017,-0.38272917,0.7445566,0.80757576,0.6019379,0.20975178,-0.3145896,0.20337754,1.2401451,0.50978196,1.4797921
charlotte,2013,-1.0590626,0.040384836,2.2018929,-2.7372246,0.26141906,1.0867513,2.8593495,-1.5031749,-3.3404126,0.15691851,-1.8876344,2.4020004,-0.5018909,1.477277,0.2523991,-1.3100464,2.346673,-0.9252041,-1.7510701,-0.35806072,1.5616039,2.074414,0.36755487,2.1243172,-1.9753538,-2.5494251,0.16075866,1.2211542,0.57357705,-0.09667617,-0.33079395,2.1921313
charlotte,2014,-0.22489488,0.07614278,1.1775742,-0.8103865,-0.91778487,-0.09403907,1.284733,-0.6880149,-1.5975806,-0.36455142,-0.7163756,0.8977887,-0.09533174,0.55463153,-0.63606215,-0.29121304,2.0198944,0.18043353,-0.41133234,-0.699063,-0.19408879,0.29686433,0.25955382,1.2956227,-0.67515486,-0.56425273,-0.13649492,-0.41988093,-0.20216057,0.74119365,-0.1914236,1.4581268
charlotte,2015,-0.12935725,0.05808209,0.8030518,-0.5754765,-0.6612851,-0.33835453,0.77396756,-0.6281503,-1.0577896,-0.07749511,-0.7307948,0.7202415,-0.21021183,0.5578882,-0.6621458,-0.2351548,1.5746894,0.35303342,-0.049083255,-0.46695238,-0.3239168,0.1354796,0.08822339,1.1495454,-0.25145048,-0.2553448,0.05782935,-0.3607437,-0.1147917,0.5942,0.01884523,1.2044448
charlotte,2016,-0.036043294,0.09993527,0.7975275,-0.42201713,-0.25122872,-0.32674634,0.44065565,-0.7558591,-0.7914411,-0.1985632,-0.57726854,0.56873715,-0.037865415,0.64021575,-0.16187024,0.17142947,1.190001,-0.057695128,-0.28832644,-0.17548889,-0.17361337,0.05518043,0.004271917,0.6720714,-0.08906545,-0.4605257,0.1359416,-0.085898094,-0.03401845,0.44040996,-0.13908948,1.1093196
charlotte,2017,0.07822969,0.20837003,0.5429312,-0.11679305,-0.15730698,-0.6008922,0.016335793,-0.6581036,-0.39961997,-0.10465149,-0.5041593,0.36233714,-0.16745193,0.56890047,-0.22914988,0.38475275,0.88873106,0.048587427,-0.09419269,-0.043076098,-0.33876234,-0.19030449,-0.11697785,0.52104926,0.25855058,-0.20076315,0.21961418,-0.20677689,-0.021290503,0.52636063,-0.011330977,1.0700976
charlotte,2018,0.14892495,0.34001344,0.8251854,-0.1871524,0.38532495,-0.7237751,-0.042973958,-0.7377087,-0.16484657,-0.21982346,-0.47725624,0.39456964,-0.07681137,0.8688538,0.67294383,0.8340246,0.4929599,-0.49057454,-0.60823405,0.15257432,0.23291583,-0.20983416,0.0015248582,0.038953908,0.21106812,-0.84971267,0.3683644,0.34690782,0.234402,0.45472547,-0.24064493,1.2880152
