metro,year,z_img_0,z_img_1,z_img_2,z_img_3,z_img_4,z_img_5,z_img_6,z_img_7,z_img_8,z_img_9,z_img_10,z_img_11,z_img_12,z_img_13,z_img_14,z_img_15
atlanta,2013,0.11787695437669754,-0.20388394594192505,-0.19044311344623566,0.17357705533504486,0.014387309551239014,-0.0962759330868721,-0.023798532783985138,0.3804052770137787,0.018568459898233414,-0.24492403864860535,0.1648692488670349,0.10846909135580063,0.25207120180130005,-0.23956656455993652,-0.07816369831562042,-0.16193430125713348
atlanta,2014,0.06737241894006729,-0.010443242266774178,0.011295147240161896,-0.004567086696624756,-0.07624959200620651,0.06560472398996353,-0.009347571060061455,0.16158729791641235,0.04336211830377579,0.013207826763391495,0.10360255837440491,-0.05083192139863968,0.026866812258958817,-0.20225197076797485,-0.01827245205640793,-0.0764734148979187
atlanta,2015,0.052284613251686096,-0.09664475917816162,0.0003067031502723694,0.028691157698631287,-0.14416968822479248,0.06621862202882767,0.021516326814889908,0.1919860541820526,0.09496968984603882,0.017274033278226852,0.11253948509693146,-0.060191936790943146,0.05145711079239845,-0.2957848906517029,-0.09068591892719269,-0.188156858086586
atlanta,2016,0.10551340132951736,-0.23300763964653015,-0.19946053624153137,0.18543770909309387,0.0034582167863845825,-0.10923749953508377,-0.016807880252599716,0.37400102615356445,0.025555241852998734,-0.25434982776641846,0.15504750609397888,0.12237834185361862,0.269883394241333,-0.2537507116794586,-0.09951309859752655,-0.18467135727405548
atlanta,2017,0.1937299221754074,-0.1712474524974823,-0.10785597562789917,0.10265661776065826,-0.048653602600097656,-0.024622909724712372,-0.029399555176496506,0.4346214532852173,0.05488323047757149,-0.15955018997192383,0.21398891508579254,0.03172227740287781,0.19266097247600555,-0.37170183658599854,-0.15995238721370697,-0.19029799103736877
atlanta,2018,-0.0150276068598032,-0.011575758457183838,0.026646830141544342,-0.010079890489578247,-0.12251047044992447,0.1106320470571518,0.01675933599472046,0.04574812948703766,0.055129509419202805,0.09139418601989746,0.06517349183559418,-0.07764223963022232,-0.02954385057091713,-0.16789090633392334,0.005433611571788788,-0.087888702750206
atlanta,2019,-0.012396501377224922,-0.23494072258472443,-0.25376778841018677,0.22865810990333557,0.02643921971321106,-0.12456241995096207,0.013306711800396442,0.25042158365249634,0.004369873553514481,-0.27720487117767334,0.07533065974712372,0.1596887856721878,0.26612696051597595,-0.10320018976926804,0.010763943195343018,-0.13655216991901398
atlanta,2020,0.24350190162658691,-0.11913962662220001,-0.0185740664601326,0.0324244387447834,-0.10136787593364716,0.03758729621767998,-0.03388378396630287,0.4466296136379242,0.0880558118224144,-0.07786434888839722,0.23842620849609375,-0.046841099858284,0.12751542031764984,-0.4602784216403961,-0.20847098529338837,-0.20515897870063782
atlanta,2021,0.2948417365550995,-0.029707740992307663,0.013354666531085968,0.013014756143093109,-0.070826455950737,0.0626056119799614,-0.05834546312689781,0.44745513796806335,0.05338447913527489,-0.07069560885429382,0.2460719794034958,-0.0710752010345459,0.08213533461093903,-0.43889907002449036,-0.13977257907390594,-0.14817973971366882
atlanta,2022,0.26436707377433777,-0.16192732751369476,-0.03673255443572998,0.046814046800136566,-0.10504621267318726,0.02422662079334259,-0.04061797633767128,0.49959996342658997,0.10301004350185394,-0.09346848726272583,0.2619152069091797,-0.03564082831144333,0.1594085991382599,-0.5067415833473206,-0.27041393518447876,-0.24541546404361725
atlanta,2023,0.12310884147882462,-0.15073321759700775,-0.05756400525569916,0.06471607834100723,-0.09634454548358917,0.020025216042995453,0.005367849953472614,0.319502592086792,0.08986236155033112,-0.07375751435756683,0.16116419434547424,-0.013665077276527882,0.12057372182607651,-0.3364604413509369,-0.14568163454532623,-0.18540741503238678
austin,2013,0.2239871472120285,-0.28157952427864075,-0.12247688323259354,0.12251110374927521,-0.060534074902534485,-0.08669324964284897,-0.04623519629240036,0.5289149284362793,0.07201434671878815,-0.1952086091041565,0.2541966438293457,0.06627651304006577,0.27864590287208557,-0.4759024977684021,-0.30325156450271606,-0.2869012951850891
austin,2014,-0.027528705075383186,-0.31988194584846497,-0.35857582092285156,0.3276505172252655,0.09661996364593506,-0.21627014875411987,0.015863604843616486,0.28441768884658813,-0.024876940995454788,-0.40260159969329834,0.05327460169792175,0.2510112524032593,0.3810153603553772,-0.04733937233686447,0.023180823773145676,-0.1702735722064972
austin,2015,0.22683526575565338,-0.2063901424407959,-0.15008901059627533,0.13946792483329773,-0.0020679980516433716,-0.07379434257745743,-0.06451607495546341,0.49437597393989563,0.02273717150092125,-0.22997130453586578,0.24586139619350433,0.07468580454587936,0.2596381604671478,-0.37823164463043213,-0.1820371299982071,-0.19323037564754486
austin,2016,0.20289857685565948,-0.2528481185436249,-0.1799607127904892,0.16748738288879395,0.013261377811431885,-0.11669936031103134,-0.05561565235257149,0.5013321042060852,0.02353503927588463,-0.26465409994125366,0.23340386152267456,0.10876497626304626,0.304597407579422,-0.3675006926059723,-0.19366534054279327,-0.22279387712478638
austin,2017,0.2642439901828766,-0.2594772279262543,-0.11040886491537094,0.10667016357183456,-0.04629865288734436,-0.07537543028593063,-0.0673123374581337,0.5591627955436707,0.0689874142408371,-0.1873083859682083,0.2814995348453522,0.05080728977918625,0.27575987577438354,-0.505016565322876,-0.3197888731956482,-0.27548226714134216
austin,2018,0.21494944393634796,-0.27038589119911194,-0.15344560146331787,0.1476125419139862,-0.02440507709980011,-0.10444755107164383,-0.05012108013033867,0.5202575325965881,0.04638979956507683,-0.2358650267124176,0.246880441904068,0.09357509016990662,0.2965143620967865,-0.42032289505004883,-0.25229042768478394,-0.2583158016204834
austin,2019,0.138521209359169,-0.3307878375053406,-0.242908775806427,0.2286563217639923,0.03631699085235596,-0.18185952305793762,-0.028587214648723602,0.47492823004722595,0.011597882956266403,-0.32546374201774597,0.1917419135570526,0.1734439581632614,0.37076085805892944,-0.30644044280052185,-0.1818551868200302,-0.2514422833919525
austin,2020,0.13527615368366241,-0.3435872197151184,-0.26564496755599976,0.2480490803718567,0.04999008774757385,-0.20791304111480713,-0.030127570033073425,0.4716153144836426,-0.003905516117811203,-0.3569050133228302,0.18307499587535858,0.19511793553829193,0.3913547396659851,-0.27435049414634705,-0.16675211489200592,-0.24415360391139984
austin,2021,0.21838335692882538,-0.22949248552322388,-0.17876172065734863,0.1691882610321045,0.03271961212158203,-0.11168191581964493,-0.06885992735624313,0.5044644474983215,0.014357831329107285,-0.27115127444267273,0.23892022669315338,0.112359918653965,0.29694026708602905,-0.35353749990463257,-0.17647598683834076,-0.19978877902030945
