metro,year,z_img_0,z_img_1,z_img_2,z_img_3,z_img_4,z_img_5,z_img_6,z_img_7,z_img_8,z_img_9,z_img_10,z_img_11,z_img_12,z_img_13,z_img_14,z_img_15
atlanta,2013,-1.171144723892212,-0.4687548875808716,-0.06912562251091003,0.1862744390964508,-0.38672178983688354,0.21588754653930664,0.3976151645183563,-1.1178441047668457,0.3192040026187897,0.5382338762283325,-0.635055422782898,-0.04521434009075165,-0.16603657603263855,0.46521830558776855,0.006068609654903412,-0.25402599573135376
atlanta,2014,-1.946639060974121,-0.7446877956390381,-0.10983289778232574,0.31058505177497864,-0.4732244610786438,0.25806501507759094,0.6069688200950623,-1.9706294536590576,0.42791232466697693,0.7923648357391357,-1.1795352697372437,0.004275602288544178,-0.2378956824541092,0.9541455507278442,0.060370929539203644,-0.2629443109035492
atlanta,2015,-1.9516234397888184,-0.7452065944671631,-0.09184125810861588,0.30057549476623535,-0.49830174446105957,0.286204069852829,0.6252900958061218,-1.9902005195617676,0.45540857315063477,0.8354219794273376,-1.1887620687484741,-0.020594872534275055,-0.27404478192329407,0.9308403730392456,0.038536444306373596,-0.27730971574783325
atlanta,2016,-1.5478143692016602,-0.6421350836753845,-0.23849603533744812,0.35261043906211853,-0.2719210684299469,0.06325363367795944,0.4508172571659088,-1.427160382270813,0.2939004600048065,0.3801511228084564,-0.8916162848472595,0.1958179920911789,-0.0058765411376953125,0.7405887842178345,0.09440688043832779,-0.2325342893600464
atlanta,2017,-1.5394092798233032,-0.665288507938385,-0.3240961730480194,0.3985903263092041,-0.20259444415569305,-0.0381084606051445,0.43268150091171265,-1.3457920551300049,0.23869386315345764,0.22135287523269653,-0.873775064945221,0.2884615957736969,0.12807433307170868,0.7542388439178467,0.12967810034751892,-0.2278449982404709
atlanta,2018,-1.1103270053863525,-0.3913600742816925,0.14010089635849,0.044724784791469574,-0.5069690942764282,0.37976235151290894,0.38935279846191406,-1.2724961042404175,0.34595808386802673,0.8077477216720581,-0.6572412848472595,-0.2767656743526459,-0.3746431767940521,0.38212811946868896,-0.047040149569511414,-0.26095050573349
atlanta,2019,-2.1371853351593018,-0.9234145879745483,-0.44415584206581116,0.5581989288330078,-0.18872316181659698,-0.15623793005943298,0.5717424750328064,-1.8950457572937012,0.28045812249183655,0.2096567302942276,-1.275985836982727,0.4729865789413452,0.2536020874977112,1.1216164827346802,0.17728886008262634,-0.25602129101753235
atlanta,2020,-1.4673590660095215,-0.5901837348937988,-0.14584174752235413,0.27699413895606995,-0.3728436231613159,0.16916146874427795,0.4604315757751465,-1.4020767211914062,0.3555418848991394,0.5413941144943237,-0.8323552012443542,0.06853803992271423,-0.12164856493473053,0.6458989977836609,0.03956242650747299,-0.2649669647216797
atlanta,2021,-1.5224661827087402,-0.5760797262191772,-0.00034052878618240356,0.1864672303199768,-0.5026994943618774,0.3420217037200928,0.5282376408576965,-1.60298752784729,0.415814608335495,0.8081659078598022,-0.9159582257270813,-0.1391405314207077,-0.3270849287509918,0.6413487195968628,-0.0016874447464942932,-0.2652076482772827
atlanta,2022,-1.2586369514465332,-0.537386417388916,-0.23250773549079895,0.315300315618515,-0.2642502188682556,0.04548241198062897,0.38009631633758545,-1.075225830078125,0.2787836492061615,0.29776468873023987,-0.672012984752655,0.18483957648277283,0.041549377143383026,0.5399134755134583,0.0509040504693985,-0.26657798886299133
atlanta,2023,-1.42000150680542,-0.5447758436203003,-0.0489189550280571,0.1995238959789276,-0.46320176124572754,0.2986501455307007,0.48321181535720825,-1.4263722896575928,0.3814323842525482,0.7113525867462158,-0.8200859427452087,-0.09071429818868637,-0.26818814873695374,0.6026352047920227,-0.00039168447256088257,-0.26789700984954834
austin,2013,-0.29322075843811035,-0.23095597326755524,0.09592493623495102,-0.02660631388425827,-0.40168845653533936,0.20486465096473694,0.14807790517807007,-0.21555238962173462,0.28590676188468933,0.3938787877559662,-0.032067373394966125,-0.16706569492816925,-0.12739460170269012,-0.23238137364387512,-0.26612144708633423,-0.356745183467865
austin,2014,-0.7113688588142395,-0.3157382309436798,-0.07684794068336487,0.13969174027442932,-0.2813653349876404,0.14685340225696564,0.24088060855865479,-0.6062923073768616,0.20810718834400177,0.2998691499233246,-0.3125265836715698,-0.02265746518969536,-0.06711296737194061,0.2024100422859192,0.012329593300819397,-0.2177736908197403
austin,2015,-0.2825690805912018,-0.20905759930610657,0.021709375083446503,0.022153623402118683,-0.2984541654586792,0.1417909562587738,0.12152201682329178,-0.1736244559288025,0.2157679796218872,0.2538020610809326,-0.039140328764915466,-0.0946713387966156,-0.056264977902173996,-0.14658671617507935,-0.14889051020145416,-0.28898823261260986
austin,2016,-0.26669827103614807,-0.21522197127342224,0.08169057220220566,-0.016788773238658905,-0.3864176571369171,0.20255863666534424,0.14089597761631012,-0.17742225527763367,0.2643815577030182,0.36330193281173706,-0.014145657420158386,-0.16330952942371368,-0.12199980020523071,-0.23540331423282623,-0.23748134076595306,-0.3442312777042389
austin,2017,-0.14821915328502655,-0.23906031250953674,0.04201149195432663,-0.0036005154252052307,-0.30727332830429077,0.14397239685058594,0.11565787345170975,0.04012318700551987,0.24399176239967346,0.24761828780174255,0.046508513391017914,-0.11023318022489548,-0.016358815133571625,-0.34747976064682007,-0.27800726890563965,-0.39259594678878784
