metro,year,selected_date,selected_quality_flag,baseline_08_01_date,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,status,requested_tiles,fetched_tiles,missing_tiles,width,height,actual_core_diffuse_cloud_pct,actual_diffuse_cloud_pct,actual_core_dark_or_empty_pct,actual_dark_or_empty_pct,actual_core_mean_brightness,actual_mean_brightness,output_path,refreshed_at_utc
charlotte,2013,2013-09-01,clean,2013-08-01,1.26,4.01,0.84,2.49,0.00,1.65,written,1,1,0,512,512,0.84,2.49,0.00,1.65,0.2888,0.3012,data/imagery/charlotte/modis_rgb/2013.tif,2026-05-06T04:34:09.048391+00:00
charlotte,2014,2014-09-15,clean,2014-08-01,0.04,1.05,0.54,1.09,0.00,0.00,written,1,1,0,512,512,0.54,1.09,0.00,0.00,0.3018,0.3079,data/imagery/charlotte/modis_rgb/2014.tif,2026-05-06T04:34:09.577043+00:00
charlotte,2015,2015-08-01,clean,2015-08-01,0.48,2.27,0.48,2.27,0.00,0.00,written,1,1,0,512,512,0.48,2.27,0.00,0.00,0.2081,0.2487,data/imagery/charlotte/modis_rgb/2015.tif,2026-05-06T04:34:09.958018+00:00
charlotte,2016,2016-09-01,clean,2016-08-01,1.86,7.26,0.02,0.38,0.00,0.00,written,1,1,0,512,512,0.02,0.38,0.00,0.00,0.1560,0.1900,data/imagery/charlotte/modis_rgb/2016.tif,2026-05-06T04:34:10.397382+00:00
charlotte,2017,2017-08-01,clean,2017-08-01,0.44,2.15,0.44,2.15,0.00,0.00,written,1,1,0,512,512,0.44,2.15,0.00,0.00,0.1633,0.2175,data/imagery/charlotte/modis_rgb/2017.tif,2026-05-06T04:34:10.820350+00:00
charlotte,2018,2018-06-15,clean,2018-08-01,0.87,4.34,0.38,0.99,0.00,0.00,written,1,1,0,512,512,0.38,0.99,0.00,0.00,0.2504,0.2468,data/imagery/charlotte/modis_rgb/2018.tif,2026-05-06T04:34:11.364966+00:00
charlotte,2019,2019-10-15,clean,2019-08-01,1.61,4.83,0.68,2.87,0.00,0.00,written,1,1,0,512,512,0.68,2.87,0.00,0.00,0.3093,0.3383,data/imagery/charlotte/modis_rgb/2019.tif,2026-05-06T04:34:11.852614+00:00
charlotte,2020,2020-10-01,clean,2020-08-01,0.76,0.94,1.01,2.47,0.00,0.00,written,1,1,0,512,512,1.01,2.47,0.00,0.00,0.3445,0.3579,data/imagery/charlotte/modis_rgb/2020.tif,2026-05-06T04:34:12.262419+00:00
charlotte,2021,2021-07-15,clean,2021-08-01,2.11,5.58,0.66,1.88,0.00,0.00,written,1,1,0,512,512,0.66,1.88,0.00,0.00,0.1743,0.2086,data/imagery/charlotte/modis_rgb/2021.tif,2026-05-06T04:34:12.694003+00:00
charlotte,2022,2022-06-15,clean,2022-08-01,4.11,4.66,0.00,0.08,0.00,0.00,written,1,1,0,512,512,0.00,0.08,0.00,0.00,0.2124,0.2350,data/imagery/charlotte/modis_rgb/2022.tif,2026-05-06T04:34:13.264299+00:00
charlotte,2023,2023-04-01,clean,2023-08-01,8.85,9.10,0.95,2.02,0.00,0.00,written,1,1,0,512,512,0.95,2.02,0.00,0.00,0.4654,0.4281,data/imagery/charlotte/modis_rgb/2023.tif,2026-05-06T04:34:13.775515+00:00
dallas,2013,2013-04-01,clean,2013-08-01,3.31,6.80,1.26,3.86,0.00,4.42,written,1,1,0,512,512,1.26,3.86,0.00,4.42,0.3441,0.3351,data/imagery/dallas/modis_rgb/2013.tif,2026-05-06T04:34:14.229448+00:00
dallas,2014,2014-10-01,clean,2014-08-01,0.05,1.05,2.69,2.90,0.00,0.00,written,1,1,0,512,512,2.69,2.90,0.00,0.00,0.3364,0.3592,data/imagery/dallas/modis_rgb/2014.tif,2026-05-06T04:34:14.623083+00:00
dallas,2015,2015-07-15,clean,2015-08-01,1.45,1.92,0.25,0.69,0.00,1.38,written,1,1,0,512,512,0.25,0.69,0.00,1.38,0.2896,0.2841,data/imagery/dallas/modis_rgb/2015.tif,2026-05-06T04:34:15.093435+00:00
dallas,2016,2016-10-15,clean,2016-08-01,1.73,2.03,0.61,2.40,0.00,0.00,written,1,1,0,512,512,0.61,2.40,0.00,0.00,0.3197,0.3448,data/imagery/dallas/modis_rgb/2016.tif,2026-05-06T04:34:15.611522+00:00
dallas,2017,2017-08-01,clean,2017-08-01,1.07,1.30,1.07,1.30,0.00,0.00,written,1,1,0,512,512,1.07,1.30,0.00,0.00,0.2239,0.2325,data/imagery/dallas/modis_rgb/2017.tif,2026-05-06T04:34:16.066458+00:00
dallas,2018,2018-07-01,clean,2018-08-01,28.37,25.34,0.05,2.26,0.00,0.00,written,1,1,0,512,512,0.05,2.26,0.00,0.00,0.1498,0.2032,data/imagery/dallas/modis_rgb/2018.tif,2026-05-06T04:34:16.509857+00:00
dallas,2019,2019-09-01,clean,2019-08-01,8.05,7.67,2.74,6.92,0.00,0.00,written,1,1,0,512,512,2.74,6.92,0.00,0.00,0.4010,0.4055,data/imagery/dallas/modis_rgb/2019.tif,2026-05-06T04:34:17.225420+00:00
dallas,2020,2020-07-15,clean,2020-08-01,0.65,0.29,0.67,1.48,0.00,0.00,written,1,1,0,512,512,0.67,1.48,0.00,0.00,0.2530,0.2657,data/imagery/dallas/modis_rgb/2020.tif,2026-05-06T04:34:17.684801+00:00
dallas,2021,2021-07-15,clean,2021-08-01,23.95,19.83,4.29,9.27,0.00,4.50,written,1,1,0,512,512,4.29,9.27,0.00,4.50,0.4258,0.4180,data/imagery/dallas/modis_rgb/2021.tif,2026-05-06T04:34:18.129743+00:00
dallas,2022,2022-06-15,clean,2022-08-01,41.21,34.92,0.99,1.31,0.00,0.00,written,1,1,0,512,512,0.99,1.31,0.00,0.00,0.2608,0.2697,data/imagery/dallas/modis_rgb/2022.tif,2026-05-06T04:34:18.802093+00:00
dallas,2023,2023-10-15,clean,2023-08-01,32.19,19.94,2.28,4.40,0.00,0.00,written,1,1,0,512,512,2.28,4.40,0.00,0.00,0.3549,0.4006,data/imagery/dallas/modis_rgb/2023.tif,2026-05-06T04:34:19.522784+00:00
denver,2013,2013-04-01,clean,2013-08-01,3.74,6.68,1.75,5.66,0.00,0.00,written,1,1,0,512,512,1.75,5.66,0.00,0.00,0.2234,0.2802,data/imagery/denver/modis_rgb/2013.tif,2026-05-06T04:34:20.035883+00:00
denver,2014,2014-07-01,clean,2014-08-01,58.42,42.89,0.89,1.63,0.00,0.00,written,1,1,0,512,512,0.89,1.63,0.00,0.00,0.2985,0.3022,data/imagery/denver/modis_rgb/2014.tif,2026-05-06T04:34:20.650960+00:00
denver,2015,2015-04-01,clean,2015-08-01,1.94,5.07,0.97,2.95,0.00,0.00,written,1,1,0,512,512,0.97,2.95,0.00,0.00,0.4046,0.3942,data/imagery/denver/modis_rgb/2015.tif,2026-05-06T04:34:21.227883+00:00
denver,2016,2016-09-15,clean,2016-08-01,2.99,8.07,0.64,4.44,0.00,0.00,written,1,1,0,512,512,0.64,4.44,0.00,0.00,0.2311,0.3204,data/imagery/denver/modis_rgb/2016.tif,2026-05-06T04:34:21.718694+00:00
denver,2017,2017-09-15,clean,2017-08-01,5.78,9.08,1.78,4.01,0.27,0.16,written,1,1,0,512,512,1.78,4.01,0.27,0.16,0.1386,0.2231,data/imagery/denver/modis_rgb/2017.tif,2026-05-06T04:34:22.233248+00:00
denver,2018,2018-08-15,clean,2018-08-01,74.09,50.12,0.36,3.72,0.00,0.00,written,1,1,0,512,512,0.36,3.72,0.00,0.00,0.4584,0.4237,data/imagery/denver/modis_rgb/2018.tif,2026-05-06T04:34:22.686549+00:00
denver,2019,2019-10-01,clean,2019-08-01,4.86,4.55,0.85,1.40,0.00,0.00,written,1,1,0,512,512,0.85,1.40,0.00,0.00,0.1875,0.2111,data/imagery/denver/modis_rgb/2019.tif,2026-05-06T04:34:23.179358+00:00
denver,2020,2020-07-15,clean,2020-08-01,13.36,12.14,0.79,1.04,0.00,0.00,written,1,1,0,512,512,0.79,1.04,0.00,0.00,0.2881,0.2998,data/imagery/denver/modis_rgb/2020.tif,2026-05-06T04:34:23.632505+00:00
