metro,year,selected_date,selected_quality_flag,selected_missing_tiles,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_strict_white_cloud_pct,selected_strict_white_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,baseline_08_01_date,baseline_08_01_missing_tiles,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,baseline_08_01_dark_or_empty_pct,improvement_vs_08_01
charlotte,2023,2023-04-01,clean,0,0.95,2.02,0.01,0.06,0.00,0.00,2023-08-01,0,8.85,9.10,0.00,7.08
chicago,2013,2013-10-15,clean,0,0.36,1.61,0.01,0.06,0.00,0.00,2013-08-01,0,2.41,7.71,0.00,6.10
chicago,2014,2014-10-15,clean,0,4.30,4.85,0.07,0.06,0.00,2.64,2014-08-01,0,26.41,26.50,0.00,21.65
chicago,2015,2015-04-01,clean,0,0.00,0.01,0.00,0.00,0.00,0.00,2015-08-01,0,6.37,11.31,62.82,11.30
chicago,2016,2016-09-01,clean,0,4.91,10.42,0.58,1.03,0.00,0.00,2016-08-01,0,24.06,19.16,2.43,8.74
chicago,2017,2017-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2017-08-01,0,21.22,25.79,0.33,25.79
chicago,2018,2018-08-01,clean,0,2.63,16.52,0.00,2.44,0.00,0.00,2018-08-01,0,2.63,16.52,0.00,0.00
chicago,2019,2019-04-01,clean,0,4.90,10.71,0.00,0.00,0.00,0.22,2019-08-01,0,14.58,28.58,0.00,17.87
chicago,2020,2020-06-01,clean,0,3.64,6.25,0.00,0.00,0.00,0.00,2020-08-01,0,36.39,33.36,0.00,27.11
chicago,2021,2021-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2021-08-01,0,1.01,10.35,64.84,10.35
chicago,2022,2022-08-15,clean,0,0.08,3.08,0.00,0.00,0.00,0.43,2022-08-01,0,58.15,45.61,0.00,42.53
chicago,2023,2023-07-15,clean,0,0.17,0.76,0.00,0.00,0.00,0.00,2023-08-01,0,16.28,19.77,0.00,19.01
cleveland,2013,2013-04-01,clean,0,0.07,0.89,0.00,0.00,0.00,0.00,2013-08-01,0,31.29,41.25,32.67,40.36
cleveland,2014,2014-04-15,clean,0,0.14,0.23,0.00,0.00,0.00,0.00,2014-08-01,0,34.32,28.30,7.93,28.07
cleveland,2015,2015-04-15,clean,0,0.00,0.20,0.00,0.00,0.00,4.30,2015-08-01,0,93.14,73.59,0.00,73.39
cleveland,2016,2016-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2016-08-01,1,18.05,13.74,50.00,13.74
cleveland,2017,2017-06-01,clean,0,0.18,0.57,0.00,0.00,0.00,0.00,2017-08-01,0,1.75,5.60,0.00,5.03
