metro,year,selected_date,selected_quality_flag,selected_missing_tiles,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_strict_white_cloud_pct,selected_strict_white_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,baseline_08_01_date,baseline_08_01_missing_tiles,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,baseline_08_01_dark_or_empty_pct,improvement_vs_08_01
nashville,2013,2013-07-01,clean,0,0.06,0.15,0.00,0.00,0.00,0.00,2013-08-01,0,1.11,1.99,36.55,1.84
nashville,2014,2014-05-15,clean,0,1.38,2.37,0.05,0.07,0.00,0.00,2014-08-01,0,5.04,8.47,0.00,6.10
nashville,2015,2015-07-01,clean,0,0.16,0.99,0.00,0.00,0.00,0.00,2015-08-01,0,1.61,1.78,0.00,0.79
nashville,2016,2016-08-15,clean,0,0.07,1.44,0.00,0.02,0.00,0.00,2016-08-01,0,1.55,2.97,0.00,1.53
nashville,2017,2017-07-01,clean,0,0.67,0.81,0.02,0.01,0.00,0.00,2017-08-01,0,19.29,15.84,34.57,15.03
nashville,2018,2018-07-15,clean,0,0.36,3.75,0.00,0.06,0.00,0.00,2018-08-01,0,1.80,1.64,0.00,-2.11
nashville,2019,2019-08-01,clean,0,1.06,1.49,0.03,0.02,0.00,0.00,2019-08-01,0,1.06,1.49,0.00,0.00
nashville,2020,2020-09-01,clean,0,0.41,1.43,0.00,0.00,0.00,3.96,2020-08-01,0,1.32,5.69,0.00,4.26
nashville,2021,2021-06-15,clean,0,1.26,2.77,0.00,0.09,0.00,0.00,2021-08-01,0,1.89,1.75,0.00,-1.02
nashville,2022,2022-07-01,clean,0,0.59,1.81,0.02,0.02,0.00,0.00,2022-08-01,0,0.00,0.27,68.87,-1.54
nashville,2023,2023-06-15,clean,0,0.55,5.97,0.02,0.29,0.00,0.00,2023-08-01,0,2.17,1.25,56.57,-4.72
new_orleans,2013,2013-04-01,clean,0,1.93,3.61,0.04,0.08,0.00,0.00,2013-08-01,0,13.23,12.57,0.00,8.96
new_orleans,2014,2014-08-01,cloudy_but_complete,0,11.63,19.64,0.33,0.45,0.00,0.00,2014-08-01,0,11.63,19.64,0.00,0.00
new_orleans,2015,2015-04-01,clean,0,1.42,4.28,0.01,0.04,0.00,0.00,2015-08-01,0,20.59,14.59,34.99,10.31
new_orleans,2016,2016-06-01,clean,0,2.78,6.90,0.02,0.09,0.00,0.00,2016-08-01,0,21.01,19.08,7.78,12.18
new_orleans,2017,2017-10-01,clean,0,4.92,3.99,0.06,0.04,0.00,0.00,2017-08-01,0,23.62,17.53,34.76,13.54
new_orleans,2018,2018-10-01,clean,0,1.23,2.75,0.00,0.01,0.00,0.00,2018-08-01,0,28.40,18.45,0.00,15.70
new_orleans,2019,2019-06-01,clean,0,3.48,8.48,0.05,0.19,0.00,0.00,2019-08-01,0,25.00,18.28,0.00,9.80
new_orleans,2020,2020-06-01,clean,0,7.07,15.86,0.02,0.36,0.00,0.00,2020-08-01,0,29.48,26.69,0.00,10.83
new_orleans,2021,2021-04-01,clean,0,4.92,4.24,0.01,0.01,0.00,0.00,2021-08-01,0,21.99,24.02,35.12,19.78
new_orleans,2022,2022-05-01,clean,0,6.20,5.39,0.16,0.09,0.00,0.00,2022-08-01,0,16.62,10.49,5.29,5.10
new_orleans,2023,2023-09-15,clean,0,2.47,2.49,0.00,0.00,0.00,0.00,2023-08-01,0,7.12,13.07,31.38,10.58
oklahoma_city,2013,2013-08-01,clean,0,0.04,0.08,0.00,0.00,0.00,0.00,2013-08-01,0,0.04,0.08,0.00,0.00
oklahoma_city,2014,2014-09-01,clean,0,0.30,0.32,0.00,0.00,0.00,0.00,2014-08-01,0,2.10,2.82,13.30,2.50
oklahoma_city,2015,2015-08-01,clean,0,0.20,0.25,0.00,0.00,0.00,0.00,2015-08-01,0,0.20,0.25,0.00,0.00
oklahoma_city,2016,2016-08-15,clean,0,0.01,0.82,0.00,0.00,0.00,0.00,2016-08-01,0,1.07,0.67,0.00,-0.15
oklahoma_city,2017,2017-08-15,clean,0,0.03,0.67,0.00,0.00,0.00,0.01,2017-08-01,0,0.80,0.41,0.00,-0.26
oklahoma_city,2018,2018-09-01,clean,0,0.00,0.03,0.00,0.00,0.00,0.00,2018-08-01,0,0.58,0.41,51.80,0.38
oklahoma_city,2019,2019-09-15,clean,0,0.00,0.13,0.00,0.00,0.00,0.00,2019-08-01,0,0.07,4.43,0.00,4.30
oklahoma_city,2020,2020-07-15,clean,0,0.02,0.47,0.00,0.02,0.00,0.01,2020-08-01,0,22.57,22.78,11.98,22.31
oklahoma_city,2021,2021-09-15,clean,0,0.00,0.17,0.00,0.00,0.00,0.00,2021-08-01,0,0.77,1.82,0.00,1.65
oklahoma_city,2022,2022-09-01,clean,0,0.00,0.06,0.00,0.00,0.00,0.00,2022-08-01,0,1.19,5.79,0.00,5.73
oklahoma_city,2023,2023-09-01,clean,0,0.04,0.09,0.00,0.00,0.00,0.00,2023-08-01,0,1.94,3.20,0.00,3.11
orlando,2013,2013-06-01,clean,0,0.16,3.85,0.00,0.08,0.00,0.00,2013-08-01,0,0.71,2.04,0.00,-1.81
orlando,2014,2014-05-01,clean,0,0.94,0.88,0.00,0.00,0.00,0.00,2014-08-01,0,4.40,7.03,63.92,6.15
orlando,2015,2015-09-15,clean,0,1.14,3.05,0.04,0.18,0.00,0.00,2015-08-01,0,9.91,6.43,0.00,3.38
orlando,2016,2016-05-15,clean,0,0.99,1.28,0.00,0.01,0.00,0.00,2016-08-01,0,8.60,11.40,5.34,10.12
orlando,2017,2017-04-01,clean,0,0.73,1.43,0.01,0.01,0.00,1.48,2017-08-01,0,8.93,8.26,0.00,6.83
orlando,2018,2018-04-01,clean,0,0.55,1.67,0.00,0.00,0.00,3.89,2018-08-01,0,11.24,8.57,0.00,6.90
orlando,2019,2019-04-15,clean,0,0.62,1.28,0.00,0.01,0.00,0.00,2019-08-01,0,9.18,5.84,35.61,4.56
orlando,2020,2020-10-15,clean,0,1.58,3.05,0.00,0.00,0.00,2.90,2020-08-01,0,1.77,1.10,64.86,-1.95
orlando,2021,2021-05-15,clean,0,0.10,0.43,0.00,0.00,0.00,0.00,2021-08-01,0,1.61,2.29,0.00,1.86
orlando,2022,2022-05-15,clean,0,0.45,0.65,0.00,0.01,0.00,0.00,2022-08-01,0,2.39,4.44,0.00,3.79
orlando,2023,2023-04-01,clean,0,1.51,1.47,0.00,0.00,0.00,0.00,2023-08-01,0,6.47,9.44,0.00,7.97
philadelphia,2013,2013-04-01,clean,0,0.00,1.34,0.00,0.00,0.00,0.00,2013-08-01,0,60.62,63.08,0.00,61.74
philadelphia,2014,2014-09-01,clean,0,6.88,14.17,0.00,0.01,0.00,0.00,2014-08-01,0,46.69,45.89,0.00,31.72
philadelphia,2015,2015-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2015-08-01,0,40.41,36.76,48.97,36.76
philadelphia,2016,2016-05-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2016-08-01,0,19.81,17.02,49.86,17.02
philadelphia,2017,2017-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2017-08-01,0,39.00,26.48,0.00,26.48
philadelphia,2018,2018-05-01,clean,0,0.00,1.61,0.00,0.00,0.00,0.00,2018-08-01,0,61.29,57.81,0.00,56.20
philadelphia,2019,2019-06-01,clean,0,4.67,10.75,0.01,0.07,0.00,0.00,2019-08-01,0,34.54,40.37,19.02,29.62
philadelphia,2020,2020-06-01,clean,0,0.72,1.99,0.00,0.00,0.00,0.00,2020-08-01,0,62.01,53.07,0.00,51.08
philadelphia,2021,2021-05-15,clean,0,0.05,1.50,0.00,0.00,0.00,0.00,2021-08-01,0,41.29,37.66,43.33,36.16
philadelphia,2022,2022-04-15,clean,0,0.00,0.03,0.00,0.00,0.00,0.00,2022-08-01,0,68.09,58.81,0.00,58.78
philadelphia,2023,2023-04-15,clean,0,0.00,0.46,0.00,0.00,0.00,0.00,2023-08-01,0,74.98,62.61,0.00,62.15
phoenix,2013,2013-10-18,clean,0,3.04,2.84,0.01,0.02,0.00,0.00,2013-08-01,0,42.96,45.17,0.00,42.33
phoenix,2014,2014-03-29,clean,0,2.16,3.00,0.04,0.04,0.00,0.00,2014-08-01,0,3.36,6.86,68.18,3.86
phoenix,2015,2015-04-01,clean,0,4.77,7.71,0.00,0.10,0.00,0.00,2015-08-01,0,76.45,70.74,0.00,63.03
phoenix,2016,2016-01-15,clean,0,0.50,12.45,0.00,0.19,0.00,0.00,2016-08-01,0,50.52,45.70,0.00,33.25
phoenix,2017,2017-09-06,clean,0,5.15,4.69,0.00,0.00,0.00,0.00,2017-08-01,0,60.18,47.35,0.00,42.66
phoenix,2018,2018-09-01,cloudy_but_complete,0,10.24,10.30,0.78,1.06,0.00,0.01,2018-08-01,0,69.14,74.32,2.08,64.02
phoenix,2019,2019-10-01,clean,0,1.34,3.14,0.01,0.01,0.00,0.00,2019-08-01,0,63.13,48.88,7.48,45.74
phoenix,2020,2020-04-15,clean,0,0.74,3.87,0.00,0.03,0.00,0.00,2020-08-01,0,6.46,11.61,67.45,7.74
phoenix,2021,2021-10-15,clean,0,6.55,6.67,0.41,0.16,0.00,0.00,2021-08-01,0,36.57,46.32,0.00,39.65
phoenix,2022,2022-08-15,cloudy_but_complete,0,11.59,14.74,0.05,0.10,0.00,0.00,2022-08-01,0,58.04,54.04,0.00,39.30
phoenix,2023,2023-09-01,clean,0,6.10,4.44,0.26,0.16,0.00,0.00,2023-08-01,0,39.69,41.94,0.00,37.50
pittsburgh,2013,2013-04-01,clean,0,0.42,1.74,0.00,0.00,0.00,0.00,2013-08-01,0,78.75,74.35,0.00,72.61
pittsburgh,2014,2014-04-01,clean,0,0.01,0.10,0.00,0.00,0.00,0.00,2014-08-01,0,21.83,24.36,15.87,24.26
pittsburgh,2015,2015-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2015-08-01,0,78.11,62.25,0.00,62.25
pittsburgh,2016,2016-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2016-08-01,0,70.85,61.48,0.00,61.48
pittsburgh,2017,2017-06-01,clean,0,0.00,0.06,0.00,0.00,0.00,0.00,2017-08-01,0,2.94,6.02,0.00,5.96
pittsburgh,2018,2018-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2018-08-01,0,28.61,18.72,40.61,18.72
pittsburgh,2019,2019-04-15,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2019-08-01,0,29.37,38.29,0.00,38.29
pittsburgh,2020,2020-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2020-08-01,0,3.38,2.83,14.57,2.83
pittsburgh,2021,2021-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2021-08-01,0,96.60,79.89,0.00,79.89
pittsburgh,2022,2022-06-01,clean,0,0.00,0.08,0.00,0.00,0.00,0.00,2022-08-01,0,86.97,63.08,0.00,63.00
pittsburgh,2023,2023-04-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-01,0,22.36,15.77,0.00,15.77
raleigh,2013,2013-08-15,clean,0,2.13,2.55,0.01,0.02,0.00,0.00,2013-08-01,0,2.33,3.57,0.00,1.02
raleigh,2014,2014-09-15,clean,0,0.38,1.03,0.00,0.01,0.00,0.27,2014-08-01,0,28.00,24.61,36.97,23.58
raleigh,2015,2015-08-01,clean,0,3.34,2.85,0.00,0.00,0.00,0.69,2015-08-01,0,3.34,2.85,0.69,0.00
raleigh,2016,2016-07-15,clean,0,0.71,1.89,0.01,0.04,0.00,0.00,2016-08-01,0,2.51,5.22,31.79,3.33
raleigh,2017,2017-05-15,clean,0,6.44,9.59,0.75,1.01,0.00,0.00,2017-08-01,0,7.93,6.90,0.00,-2.69
raleigh,2018,2018-08-01,clean,0,1.55,3.42,0.01,0.03,0.00,1.61,2018-08-01,0,1.55,3.42,1.61,0.00
raleigh,2019,2019-10-15,clean,0,1.58,2.19,0.00,0.00,0.00,0.12,2019-08-01,0,2.29,2.81,36.99,0.62
raleigh,2020,2020-07-15,clean,0,2.43,5.88,0.01,0.01,0.00,0.00,2020-08-01,0,4.16,11.02,36.97,5.14
raleigh,2021,2021-05-15,clean,0,0.61,5.73,0.01,0.43,0.00,0.00,2021-08-01,0,4.34,5.68,0.04,-0.05
raleigh,2022,2022-06-01,clean,0,0.75,2.69,0.00,0.01,0.00,0.10,2022-08-01,0,2.65,3.16,0.00,0.47
raleigh,2023,2023-04-01,clean,0,0.20,1.04,0.00,0.03,0.00,0.00,2023-08-01,0,20.66,20.80,0.00,19.76
sacramento,2013,2013-06-01,clean,0,4.13,10.06,0.00,0.00,0.00,0.00,2013-08-01,0,58.14,46.50,0.00,36.44
sacramento,2014,2014-04-19,clean,0,0.60,14.14,0.00,3.24,0.00,0.00,2014-08-01,0,67.94,69.98,0.00,55.84
sacramento,2015,2015-05-01,clean,0,1.46,3.44,0.02,0.01,0.00,0.00,2015-08-01,0,5.37,9.42,21.77,5.98
sacramento,2016,2016-04-15,clean,0,6.18,13.15,0.15,2.64,0.00,0.00,2016-08-01,0,0.42,7.89,71.15,-5.26
sacramento,2017,2017-04-15,clean,0,2.74,4.53,0.14,0.39,0.00,0.00,2017-08-01,0,61.80,50.63,0.00,46.10
sacramento,2018,2018-11-08,clean,0,2.72,9.10,0.00,0.01,0.00,0.00,2018-08-01,0,35.63,33.67,0.00,24.57
sacramento,2019,2019-06-01,clean,0,9.90,13.92,0.50,0.44,0.00,0.00,2019-08-01,0,18.63,17.79,51.77,3.87
sacramento,2020,2020-04-01,clean,0,5.08,11.90,0.00,0.33,0.00,0.00,2020-08-01,0,40.63,38.67,0.00,26.77
sacramento,2021,2021-09-01,clean,0,8.35,7.86,0.23,0.13,0.00,0.00,2021-08-01,0,30.64,22.52,16.12,14.66
sacramento,2022,2022-04-01,clean,0,2.75,5.83,0.06,0.60,0.00,0.00,2022-08-01,0,14.33,27.66,0.00,21.83
sacramento,2023,2023-04-15,clean,0,0.23,1.57,0.00,0.01,0.00,0.00,2023-08-01,0,65.27,72.28,0.00,70.71
salt_lake_city,2013,2013-04-01,clean,0,2.72,2.74,0.00,0.00,0.00,0.00,2013-08-01,0,11.19,14.09,0.00,11.35
salt_lake_city,2014,2014-10-15,clean,0,1.98,7.04,0.01,0.06,0.00,0.00,2014-08-01,0,1.78,4.05,14.69,-2.99
salt_lake_city,2015,2015-05-01,clean,0,0.36,1.28,0.00,0.00,0.00,0.00,2015-08-01,0,5.84,10.89,0.00,9.61
salt_lake_city,2016,2016-08-15,clean,0,0.90,3.40,0.00,0.07,0.00,0.00,2016-08-01,0,4.23,7.75,0.00,4.35
salt_lake_city,2017,2017-08-01,clean,0,2.59,5.88,0.05,0.14,0.00,0.00,2017-08-01,0,2.59,5.88,0.00,0.00
salt_lake_city,2018,2018-09-01,clean,0,2.93,6.65,0.00,1.03,0.00,0.00,2018-08-01,0,15.67,14.26,42.11,7.61
salt_lake_city,2019,2019-09-15,clean,0,1.44,2.59,0.01,0.05,0.00,0.00,2019-08-01,0,2.49,5.17,0.00,2.58
salt_lake_city,2020,2020-10-15,clean,0,2.11,3.06,0.05,0.03,0.01,0.00,2020-08-01,0,3.00,5.25,13.35,2.19
salt_lake_city,2021,2021-09-15,clean,0,2.20,5.24,0.07,0.31,0.00,0.00,2021-08-01,0,10.30,17.19,0.00,11.95
salt_lake_city,2022,2022-07-15,clean,0,2.06,2.75,0.00,0.01,0.00,0.00,2022-08-01,0,39.61,40.36,0.00,37.61
salt_lake_city,2023,2023-10-15,clean,0,3.48,5.96,0.04,0.51,0.00,0.00,2023-08-01,0,3.76,7.82,0.01,1.86
san_antonio,2013,2013-08-15,clean,0,2.62,11.03,0.00,0.13,0.00,0.00,2013-08-01,1,0.64,0.52,71.36,-10.51
san_antonio,2014,2014-06-15,clean,0,0.27,1.05,0.00,0.01,0.00,0.00,2014-08-01,0,0.49,0.97,27.30,-0.08
san_antonio,2015,2015-08-01,clean,0,0.00,0.00,0.00,0.00,0.00,0.00,2015-08-01,0,0.00,0.00,0.00,0.00
san_antonio,2016,2016-07-15,clean,0,0.01,0.54,0.00,0.00,0.00,3.40,2016-08-01,0,0.02,0.05,0.00,-0.49
san_antonio,2017,2017-08-01,clean,0,0.00,0.03,0.00,0.00,0.00,0.00,2017-08-01,0,0.00,0.03,0.00,0.00
san_antonio,2018,2018-07-01,clean,0,0.02,0.01,0.00,0.00,0.00,0.00,2018-08-01,0,3.85,12.97,34.96,12.96
san_antonio,2019,2019-07-15,clean,0,0.01,2.28,0.00,0.00,0.00,0.00,2019-08-01,0,0.09,0.95,0.00,-1.33
san_antonio,2020,2020-07-01,clean,0,0.00,0.04,0.00,0.00,0.00,0.00,2020-08-01,0,0.00,0.00,26.62,-0.04
san_antonio,2021,2021-08-15,clean,0,0.21,3.38,0.00,0.02,0.00,0.00,2021-08-01,0,1.75,1.91,0.00,-1.47
san_antonio,2022,2022-08-15,clean,0,0.02,0.08,0.00,0.00,0.00,0.00,2022-08-01,0,9.94,12.96,5.11,12.88
san_antonio,2023,2023-07-01,clean,0,0.10,0.56,0.00,0.01,0.00,0.00,2023-08-01,0,0.26,1.15,0.00,0.59
st_louis,2013,2013-05-01,clean,0,1.46,1.88,0.02,0.03,0.00,0.00,2013-08-01,0,29.03,29.32,0.00,27.44
st_louis,2014,2014-06-01,clean,0,6.14,16.50,0.13,0.23,0.00,0.00,2014-08-01,0,9.10,17.77,0.00,1.27
st_louis,2015,2015-04-01,clean,0,1.10,1.01,0.01,0.00,0.00,0.00,2015-08-01,0,6.82,13.54,35.55,12.53
st_louis,2016,2016-06-15,clean,0,6.34,9.75,0.34,0.33,0.00,0.00,2016-08-01,0,14.82,16.15,35.50,6.40
st_louis,2017,2017-04-15,clean,0,0.27,0.37,0.00,0.00,0.00,0.00,2017-08-01,0,78.64,58.30,8.14,57.93
st_louis,2018,2018-08-15,clean,0,3.42,6.79,0.08,0.25,0.00,0.00,2018-08-01,0,10.55,21.14,0.00,14.35
st_louis,2019,2019-04-19,clean,0,0.63,0.80,0.00,0.00,0.00,0.00,2019-08-01,0,27.37,16.74,25.25,15.94
st_louis,2020,2020-04-05,clean,0,0.33,0.66,0.00,0.00,0.00,0.00,2020-08-01,0,68.85,69.05,0.00,68.39
st_louis,2021,2021-04-15,clean,0,0.29,0.87,0.00,0.00,0.00,0.00,2021-08-01,0,23.91,36.76,35.73,35.89
st_louis,2022,2022-08-01,clean,0,1.42,7.57,0.00,2.50,0.00,0.00,2022-08-01,0,1.42,7.57,0.00,0.00
st_louis,2023,2023-05-01,clean,0,1.45,1.48,0.03,0.02,0.00,0.00,2023-08-01,0,11.49,21.60,1.29,20.12
tampa,2013,2013-06-15,clean,0,1.19,1.16,0.01,0.01,0.00,0.00,2013-08-01,0,5.27,4.48,0.00,3.32
tampa,2014,2014-04-15,clean,0,0.13,0.24,0.00,0.00,0.00,0.00,2014-08-01,0,1.67,4.32,23.57,4.08
tampa,2015,2015-05-15,clean,0,0.41,0.81,0.01,0.02,0.00,0.00,2015-08-01,0,18.28,12.78,0.00,11.97
tampa,2016,2016-05-15,clean,0,0.58,4.07,0.00,0.07,0.00,0.00,2016-08-01,0,16.77,12.18,0.00,8.11
tampa,2017,2017-05-15,clean,0,0.30,1.71,0.00,0.09,0.00,0.00,2017-08-01,0,5.51,5.94,0.00,4.23
tampa,2018,2018-07-01,clean,0,0.60,2.06,0.00,0.02,0.00,0.00,2018-08-01,0,6.20,6.88,30.05,4.82
tampa,2019,2019-04-15,clean,0,1.85,1.79,0.02,0.01,0.00,0.00,2019-08-01,0,2.21,5.11,0.00,3.32
tampa,2020,2020-04-15,clean,0,0.27,1.67,0.00,0.01,0.00,0.00,2020-08-01,0,5.70,5.99,22.24,4.32
tampa,2021,2021-05-01,clean,0,1.88,2.18,0.03,0.05,0.00,0.00,2021-08-01,0,4.02,3.48,0.00,1.30
tampa,2022,2022-05-15,clean,0,1.51,3.63,0.00,0.00,0.00,3.72,2022-08-01,0,12.66,22.14,0.00,18.51
tampa,2023,2023-07-01,clean,0,2.19,2.76,0.01,0.05,0.00,0.00,2023-08-01,0,3.48,5.41,0.00,2.65
